satellite_key,satellite_name,norad_id,constellation_family,regime,records,epoch_start_utc,epoch_end_utc,epoch_span_days,median_gap_h,p10_gap_h,p90_gap_h,mean_altitude_km,min_altitude_km,max_altitude_km,mean_inclination_deg,mean_eccentricity,min_eccentricity,max_eccentricity,mean_bstar,min_bstar,max_bstar,staleness_h,accepted_pairs,rejected_pairs,reject_rate_pct,train_pairs,val_pairs,test_pairs,band_supported
NORAD25544,ISS (ZARYA),25544,unknown,alt300-500km_inc0-60deg,46859,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,10110.126,4.518,1.551,9.128,388.471606,258.880917,422.166699,51.637027,0.000683,3e-06,0.012586,0.000207,-0.11407,0.51559,8,44580,69,0.155,27365,7918,9297,True
NORAD25544,ISS (ZARYA),25544,unknown,alt300-500km_inc0-60deg,46859,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,10110.126,4.518,1.551,9.128,388.471606,258.880917,422.166699,51.637027,0.000683,3e-06,0.012586,0.000207,-0.11407,0.51559,24,45923,736,1.577,27871,8455,9597,True
NORAD25544,ISS (ZARYA),25544,unknown,alt300-500km_inc0-60deg,46859,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,10110.126,4.518,1.551,9.128,388.471606,258.880917,422.166699,51.637027,0.000683,3e-06,0.012586,0.000207,-0.11407,0.51559,48,44556,2151,4.605,27006,8324,9226,True
NORAD25544,ISS (ZARYA),25544,unknown,alt300-500km_inc0-60deg,46859,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,10110.126,4.518,1.551,9.128,388.471606,258.880917,422.166699,51.637027,0.000683,3e-06,0.012586,0.000207,-0.11407,0.51559,72,42563,4104,8.794,25709,8113,8741,True
NORAD25544,ISS (ZARYA),25544,unknown,alt300-500km_inc0-60deg,46859,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,10110.126,4.518,1.551,9.128,388.471606,258.880917,422.166699,51.637027,0.000683,3e-06,0.012586,0.000207,-0.11407,0.51559,96,40361,6371,13.633,24271,7885,8205,True
NORAD25544,ISS (ZARYA),25544,unknown,alt300-500km_inc0-60deg,46859,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,10110.126,4.518,1.551,9.128,388.471606,258.880917,422.166699,51.637027,0.000683,3e-06,0.012586,0.000207,-0.11407,0.51559,168,33411,13334,28.525,19702,7100,6609,True
NORAD56726,IRIDIUM 181,56726,unknown,alt700-900km_inc60-90deg,2678,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1160.937,9.982,1.664,19.967,743.407069,618.910388,747.843123,86.625037,0.000231,8.6e-05,0.001274,0.000147,-0.000148,0.001734,8,1902,0,0.0,924,345,633,True
NORAD56726,IRIDIUM 181,56726,unknown,alt700-900km_inc60-90deg,2678,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1160.937,9.982,1.664,19.967,743.407069,618.910388,747.843123,86.625037,0.000231,8.6e-05,0.001274,0.000147,-0.000148,0.001734,24,2584,0,0.0,1361,484,739,True
NORAD56726,IRIDIUM 181,56726,unknown,alt700-900km_inc60-90deg,2678,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1160.937,9.982,1.664,19.967,743.407069,618.910388,747.843123,86.625037,0.000231,8.6e-05,0.001274,0.000147,-0.000148,0.001734,48,2609,3,0.115,1369,496,744,True
NORAD56726,IRIDIUM 181,56726,unknown,alt700-900km_inc60-90deg,2678,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1160.937,9.982,1.664,19.967,743.407069,618.910388,747.843123,86.625037,0.000231,8.6e-05,0.001274,0.000147,-0.000148,0.001734,72,2591,6,0.231,1358,492,741,True
NORAD56726,IRIDIUM 181,56726,unknown,alt700-900km_inc60-90deg,2678,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1160.937,9.982,1.664,19.967,743.407069,618.910388,747.843123,86.625037,0.000231,8.6e-05,0.001274,0.000147,-0.000148,0.001734,96,2642,10,0.377,1388,504,750,True
NORAD56726,IRIDIUM 181,56726,unknown,alt700-900km_inc60-90deg,2678,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1160.937,9.982,1.664,19.967,743.407069,618.910388,747.843123,86.625037,0.000231,8.6e-05,0.001274,0.000147,-0.000148,0.001734,168,2638,25,0.939,1379,507,752,True
NORAD56727,IRIDIUM 177,56727,unknown,alt500-700km_inc60-90deg,2623,2023-05-22T16:28:48.333792+00:00,2026-07-26T12:51:17.007264+00:00,1160.849,9.735,1.622,21.092,628.592477,618.739323,629.286017,86.208695,0.000238,0.000147,0.001287,0.000239,-0.00096,0.002058,8,1875,0,0.0,876,360,639,True
NORAD56727,IRIDIUM 177,56727,unknown,alt500-700km_inc60-90deg,2623,2023-05-22T16:28:48.333792+00:00,2026-07-26T12:51:17.007264+00:00,1160.849,9.735,1.622,21.092,628.592477,618.739323,629.286017,86.208695,0.000238,0.000147,0.001287,0.000239,-0.00096,0.002058,24,2544,1,0.039,1342,479,723,True
NORAD56727,IRIDIUM 177,56727,unknown,alt500-700km_inc60-90deg,2623,2023-05-22T16:28:48.333792+00:00,2026-07-26T12:51:17.007264+00:00,1160.849,9.735,1.622,21.092,628.592477,618.739323,629.286017,86.208695,0.000238,0.000147,0.001287,0.000239,-0.00096,0.002058,48,2532,2,0.079,1333,477,722,True
NORAD56727,IRIDIUM 177,56727,unknown,alt500-700km_inc60-90deg,2623,2023-05-22T16:28:48.333792+00:00,2026-07-26T12:51:17.007264+00:00,1160.849,9.735,1.622,21.092,628.592477,618.739323,629.286017,86.208695,0.000238,0.000147,0.001287,0.000239,-0.00096,0.002058,72,2543,9,0.353,1334,480,729,True
