cell,staleness_h,selected_model,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,val_sgp4_mae_hz,val_learned_mae_hz,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
NORAD66741->NORAD66741,8,age_ridge,closed,closed,closed,closed,closed,closed,0.264325,0.292134,0.571785,0.615725,0.777441,0.818109,0.0,0.0
NORAD66741->NORAD66741,24,age_ridge,closed,closed,closed,closed,closed,closed,0.840583,0.849353,2.193076,2.242529,2.871443,2.915656,0.0,0.0
NORAD66741->NORAD66741,48,age_ridge,closed,closed,closed,closed,closed,closed,2.156048,2.169792,6.514386,6.518991,7.994224,7.997035,0.0,0.0
NORAD66741->NORAD66741,72,age_ridge,closed,closed,closed,closed,closed,closed,4.861547,4.853354,13.38284,13.396603,16.99964,17.013347,0.0,0.0
NORAD66741->NORAD66741,96,linear_age,closed,closed,closed,closed,closed,closed,9.476874,9.455181,23.365695,23.379536,30.900228,30.911635,0.0,0.0
NORAD66741->NORAD66741,168,age_ridge,closed,closed,closed,closed,closed,closed,27.381699,27.396015,82.3138,82.289942,107.419506,107.394978,0.001792,0.001792
NORAD68474->NORAD68474,8,age_ridge,closed,closed,closed,closed,closed,closed,0.218165,0.21915,0.640248,0.636913,0.78685,0.78354,0.0,0.0
NORAD68474->NORAD68474,24,deployable_ridge,closed,closed,open,closed,closed,closed,0.629109,0.603071,2.242219,2.396322,2.904521,3.075124,0.0,0.0
NORAD68474->NORAD68474,48,deployable_ridge,closed,closed,closed,closed,closed,closed,1.136671,1.093735,5.27615,5.429203,6.670849,6.84244,0.0,0.0
NORAD68474->NORAD68474,72,deployable_ridge,closed,closed,closed,closed,closed,closed,1.893941,1.87262,7.830972,8.037997,9.297955,9.469726,0.0,0.0
NORAD68474->NORAD68474,96,age_ridge,closed,closed,closed,closed,closed,closed,2.492873,2.493351,10.310719,10.308498,12.601626,12.59936,0.0,0.0
NORAD68474->NORAD68474,168,age_ridge,closed,closed,closed,closed,closed,closed,5.588089,5.590934,53.331451,53.321286,72.433808,72.422718,0.000992,0.000992
NORAD66741->NORAD68474,8,age_ridge,closed,closed,closed,closed,closed,closed,0.218165,0.225134,0.640248,0.627782,0.78685,0.766009,0.0,0.0
NORAD66741->NORAD68474,24,age_ridge,closed,closed,closed,closed,closed,closed,0.629109,0.626012,2.242219,2.203568,2.904521,2.852938,0.0,0.0
NORAD66741->NORAD68474,48,age_ridge,closed,closed,closed,closed,closed,closed,1.136671,1.16801,5.27615,5.326283,6.670849,6.714461,0.0,0.0
NORAD66741->NORAD68474,72,linear_age,closed,closed,closed,closed,closed,closed,1.893941,1.879111,7.830972,7.821357,9.297955,9.290445,0.0,0.0
NORAD66741->NORAD68474,96,linear_age,closed,closed,closed,closed,closed,closed,2.492873,2.527418,10.310719,10.284502,12.601626,12.563976,0.0,0.0
NORAD66741->NORAD68474,168,age_ridge,closed,closed,closed,closed,closed,closed,5.588089,5.618506,53.331451,53.407686,72.433808,72.511686,0.000992,0.000992
NORAD68474->NORAD66741,8,age_ridge,closed,closed,closed,closed,closed,closed,0.264325,0.264381,0.571785,0.572649,0.777441,0.778436,0.0,0.0
NORAD68474->NORAD66741,24,age_ridge,closed,closed,closed,closed,closed,closed,0.840583,0.840856,2.193076,2.192656,2.871443,2.871071,0.0,0.0
NORAD68474->NORAD66741,48,age_ridge,closed,closed,closed,closed,closed,closed,2.156048,2.156244,6.514386,6.515359,7.994224,7.995331,0.0,0.0
NORAD68474->NORAD66741,72,age_ridge,closed,closed,closed,closed,closed,closed,4.861547,4.862101,13.38284,13.384274,16.99964,17.000915,0.0,0.0
NORAD68474->NORAD66741,96,age_ridge,closed,closed,closed,closed,closed,closed,9.476874,9.476991,23.365695,23.368035,30.900228,30.902705,0.0,0.0
NORAD68474->NORAD66741,168,linear_age,closed,closed,closed,closed,closed,closed,27.381699,27.378842,82.3138,82.330785,107.419506,107.436404,0.001792,0.001792
