cell,staleness_h,n_unique_test_pair_ids,learned_wins,sgp4_wins,ties,learned_pair_win_rate,median_pair_delta_mae_hz,mean_pair_delta_mae_hz,boot_ci_low_hz,boot_ci_high_hz,sign_test_p
NORAD66741->NORAD66741,8,60,22,38,0,0.366667,0.011431,0.025447,0.011665,0.040086,0.051894
NORAD66741->NORAD66741,24,82,37,45,0,0.45122,0.017503,0.013518,-0.001464,0.029116,0.439705
NORAD66741->NORAD66741,48,88,38,50,0,0.431818,0.003037,0.019904,0.0022,0.037985,0.240793
NORAD66741->NORAD66741,72,87,47,40,0,0.54023,-0.003369,-0.002364,-0.011387,0.006379,0.520292
NORAD66741->NORAD66741,96,89,46,43,0,0.516854,-0.008184,0.006962,-0.020144,0.036846,0.832258
NORAD66741->NORAD66741,168,93,44,49,0,0.473118,0.019807,0.015804,-0.009363,0.041482,0.678532
NORAD68474->NORAD68474,8,25,10,15,0,0.4,0.001454,0.000903,-0.001155,0.002653,0.424356
NORAD68474->NORAD68474,24,39,10,29,0,0.25641,0.077908,0.04903,0.023795,0.071534,0.003378
NORAD68474->NORAD68474,48,38,12,26,0,0.315789,0.123279,0.061684,0.011657,0.105863,0.033552
NORAD68474->NORAD68474,72,38,13,25,0,0.342105,0.14991,0.118515,0.01162,0.217112,0.072951
NORAD68474->NORAD68474,96,41,21,20,0,0.512195,-8.7e-05,0.000584,-0.00105,0.002482,1.0
NORAD68474->NORAD68474,168,42,23,19,0,0.547619,-0.004366,0.002712,-0.008777,0.013894,0.643969
NORAD66741->NORAD68474,8,25,6,19,0,0.24,0.063917,0.061332,0.037939,0.086148,0.014633
NORAD66741->NORAD68474,24,39,8,31,0,0.205128,0.076893,0.052176,0.030267,0.072173,0.000294
NORAD66741->NORAD68474,48,38,19,19,0,0.5,-0.00097,0.029206,-0.004216,0.064889,1.0
NORAD66741->NORAD68474,72,38,16,22,0,0.421053,0.018588,0.00633,-0.008991,0.021253,0.417692
NORAD66741->NORAD68474,96,41,16,25,0,0.390244,0.120778,0.035814,-0.01387,0.083254,0.211024
NORAD66741->NORAD68474,168,42,19,23,0,0.452381,0.020488,-0.013365,-0.056146,0.025674,0.643969
NORAD68474->NORAD66741,8,60,28,32,0,0.466667,0.00059,7.3e-05,-0.000909,0.001036,0.698883
NORAD68474->NORAD66741,24,82,39,43,0,0.47561,0.000265,-1.5e-05,-0.000759,0.00077,0.740653
NORAD68474->NORAD66741,48,88,52,36,0,0.590909,-0.000494,-0.000483,-0.001567,0.000618,0.109295
NORAD68474->NORAD66741,72,87,40,47,0,0.45977,0.000145,-0.000884,-0.003081,0.001416,0.520292
NORAD68474->NORAD66741,96,89,49,40,0,0.550562,-0.000146,-0.000607,-0.001798,0.000583,0.39657
NORAD68474->NORAD66741,168,93,58,35,0,0.623656,-0.013298,-0.00612,-0.013379,0.000982,0.022019
