cell,source_satellite,source_name,target_satellite,target_name,relation,staleness_h,status,reject_hz,gamma,f_tol_hz,n_train_pairs,n_validation_pairs,n_test_pairs,rejected_train_pairs,rejected_validation_pairs,rejected_test_pairs,reject_rate_source_pct,reject_rate_target_pct,selected_model,ridge_alpha,val_sgp4_mae_hz,val_learned_mae_hz,val_degradation_pct,gate_decision,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,deployed_test_mae_hz
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,8,evaluated,1500.0,0.95,500.0,166,92,60,0,0,0,0.0,0.0,age_ridge,1000.0,0.264325,0.292134,10.5209,closed,0.211521,0.236967,0.025447,12.0304,0.211521
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,24,evaluated,1500.0,0.95,500.0,196,114,82,5,0,0,1.259,1.259,age_ridge,1000.0,0.840583,0.849353,1.0433,closed,0.8157,0.829218,0.013518,1.6572,0.8157
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,48,evaluated,1500.0,0.95,500.0,188,118,88,4,0,0,1.005,1.005,age_ridge,1000.0,2.156048,2.169792,0.6375,closed,2.40817,2.428075,0.019904,0.8265,2.40817
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,72,evaluated,1500.0,0.95,500.0,181,124,87,9,0,0,2.244,2.244,age_ridge,1000.0,4.861547,4.853354,-0.1685,closed,4.881554,4.87919,-0.002364,-0.0484,4.881554
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,96,evaluated,1500.0,0.95,500.0,179,123,89,12,0,0,2.978,2.978,linear_age,,9.476874,9.455181,-0.2289,closed,8.604743,8.611706,0.006962,0.0809,8.604743
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,168,evaluated,1500.0,0.95,500.0,171,124,93,17,0,0,4.198,4.198,age_ridge,1000.0,27.381699,27.396015,0.0523,closed,29.743709,29.759513,0.015804,0.0531,29.743709
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,8,evaluated,1500.0,0.95,500.0,126,32,25,0,0,0,0.0,0.0,age_ridge,1000.0,0.218165,0.21915,0.4512,closed,0.216634,0.217537,0.000903,0.417,0.216634
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,24,evaluated,1500.0,0.95,500.0,145,45,39,0,0,0,0.0,0.0,deployable_ridge,0.01,0.629109,0.603071,-4.1388,closed,0.781378,0.830408,0.04903,6.2748,0.781378
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,48,evaluated,1500.0,0.95,500.0,138,45,38,0,0,0,0.0,0.0,deployable_ridge,100.0,1.136671,1.093735,-3.7773,closed,1.74625,1.807933,0.061684,3.5324,1.74625
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,72,evaluated,1500.0,0.95,500.0,141,44,38,0,0,0,0.0,0.0,deployable_ridge,1000.0,1.893941,1.87262,-1.1257,closed,2.558582,2.677097,0.118515,4.632,2.558582
