satellite,satellite_name,staleness_h,threshold_hz,is_preregistered_threshold,status,candidate_pairs,accepted_pairs,rejected_pairs,reject_rate_pct,n_train_pairs,n_validation_pairs,n_test_pairs,selected_model,val_sgp4_mae_hz,val_learned_mae_hz,val_improvement_pct,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,test_improvement_pct,learned_wins,sgp4_wins,ties,pair_win_rate,mean_pair_delta_mae_hz,median_pair_delta_mae_hz,pair_ci_low_hz,pair_ci_high_hz,sign_test_p,holm_p,bh_q,block_bootstrap_days,block_ci_low_hz,block_ci_high_hz,block_ci_excludes_zero,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy,selection_reason,selected_val_mae_hz,gate_margin_hz,val_mae_zero,val_mae_mean_bias,val_mae_median_bias,val_mae_linear_age,val_mae_age_ridge,val_mae_deployable_ridge,test_mae_zero,test_mae_mean_bias,test_mae_median_bias,test_mae_linear_age,test_mae_age_ridge,test_mae_deployable_ridge
NORAD25544,ISS (ZARYA),8,none,False,evaluated,44649,44649,0,0.0,27420,7918,9311,age_ridge,2.033868,2.050255,-0.8057,closed,closed,closed,closed,closed,closed,3.769557,3.780784,0.011227,0.2978,-0.2978,3788,5518,5,0.406831,0.011227,0.017052,0.010145,0.012329,0.0,0.0,0.0,1956,0.009843,0.012651,True,9.919745,9.936567,18.547251,18.557348,0.00055,0.00055,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.050255,-0.118080349,2.033868,2.049848,2.034584,2.050257,2.050255,3.734683,3.769557,3.779921,3.769864,3.780786,3.780784,5.247701
NORAD25544,ISS (ZARYA),8,150,False,evaluated,44649,43733,916,2.0516,26778,7816,9139,age_ridge,1.291952,1.294389,-0.1886,closed,closed,closed,closed,closed,closed,1.849191,1.85014,0.000949,0.0513,-0.0513,4371,4754,14,0.47828,0.000949,0.000837,0.000602,0.001341,6.3e-05,0.010773,0.0001701,1954,0.000528,0.001371,True,4.780271,4.783343,8.623726,8.625672,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",1.294389,-0.067034268,1.291952,1.293554,1.292859,1.294391,1.294389,1.297687,1.849191,1.849996,1.849611,1.850141,1.85014,1.855475
NORAD25544,ISS (ZARYA),8,500,False,evaluated,44649,44396,253,0.5666,27233,7895,9268,linear_age,1.711949,1.721038,-0.5309,closed,closed,closed,closed,closed,closed,2.548747,2.554342,0.005595,0.2195,-0.2195,3950,5309,9,0.426198,0.005595,0.011782,0.004781,0.006386,0.0,0.0,0.0,1955,0.00462,0.006576,True,6.544002,6.553914,11.680136,11.685827,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",1.721038,-0.094686967,1.711949,1.721067,1.712784,1.721038,1.721038,1.852118,2.548747,2.554326,2.54912,2.554342,2.554342,2.654164
NORAD25544,ISS (ZARYA),8,1500,True,evaluated,44649,44580,69,0.1545,27365,7918,9297,age_ridge,2.033868,2.049001,-0.744,closed,closed,closed,closed,closed,closed,2.97944,2.989038,0.009598,0.3221,-0.3221,3834,5454,9,0.412391,0.009598,0.017315,0.008528,0.010652,0.0,0.0,0.0,1956,0.008266,0.010972,True,7.709307,7.725446,13.846566,13.856366,0.000197,0.000197,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.049001,-0.116826225,2.033868,2.048648,2.034621,2.049001,2.049001,2.527631,2.97944,2.988945,2.979762,2.989038,2.989038,3.374259
NORAD25544,ISS (ZARYA),8,3000,False,evaluated,44649,44612,37,0.0829,27388,7918,9306,age_ridge,2.033868,2.049091,-0.7485,closed,closed,closed,closed,closed,closed,3.212877,3.222446,0.009569,0.2978,-0.2978,3878,5418,10,0.41672,0.009569,0.015523,0.008467,0.010637,0.0,0.0,0.0,1956,0.008254,0.010947,True,8.182133,8.198398,15.565192,15.575167,0.00026,0.00026,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.049091,-0.116916627,2.033868,2.048172,2.034608,2.049093,2.049091,2.74934,3.212877,3.222071,3.213199,3.222447,3.222446,3.794153
NORAD25544,ISS (ZARYA),24,none,False,evaluated,46659,46656,3,0.0064,28399,8507,9750,age_ridge,8.486235,8.56916,-0.9772,closed,closed,closed,closed,closed,closed,18.620185,18.697654,0.077469,0.416,-0.416,3820,5925,5,0.391795,0.077469,0.038864,0.071123,0.083553,0.0,0.0,0.0,2002,0.07021,0.084644,True,49.825046,49.921782,99.024009,99.08892,0.005697,0.005701,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",8.56916,-0.507236885,8.486235,8.495797,8.486688,8.569363,8.56916,26.437899,18.620185,18.627901,18.620531,18.697835,18.697654,34.929232
NORAD25544,ISS (ZARYA),24,150,False,evaluated,46659,42350,4309,9.2351,25338,8100,8912,age_ridge,2.820642,2.820868,-0.008,closed,closed,closed,closed,closed,closed,3.764383,3.764387,4e-06,0.0001,-0.0001,4576,4316,20,0.513465,4e-06,-0.000207,-0.00021,0.000213,0.006018,0.824466,0.01212582,1971,-0.000233,0.000261,False,9.774771,9.775259,17.080032,17.080468,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.820868,-0.141258072,2.820642,2.820685,2.820678,2.820869,2.820868,2.854887,3.764383,3.764313,3.76432,3.764387,3.764387,3.789043
NORAD25544,ISS (ZARYA),24,500,False,evaluated,46659,45072,1587,3.4013,27336,8350,9386,age_ridge,4.400296,4.402939,-0.0601,closed,closed,closed,closed,closed,closed,6.202885,6.204613,0.001727,0.0278,-0.0278,4281,5092,13,0.456105,0.001727,0.004121,0.000949,0.00254,0.0,0.0,0.0,1990,0.000604,0.002807,True,15.95078,15.955592,27.902405,27.905551,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",4.402939,-0.222657664,4.400296,4.402635,4.400233,4.402941,4.402939,4.9666,6.202885,6.204107,6.20304,6.204615,6.204613,6.697568
NORAD25544,ISS (ZARYA),24,1500,True,evaluated,46659,45923,736,1.5774,27871,8455,9597,age_ridge,6.224329,6.233586,-0.1487,closed,closed,closed,closed,closed,closed,9.63197,9.640029,0.008059,0.0837,-0.0837,4198,5389,10,0.437428,0.008059,0.009879,0.006466,0.009673,0.0,0.0,0.0,1997,0.006014,0.010111,True,25.395951,25.408895,45.038037,45.045851,0.001611,0.001611,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",6.233586,-0.320473606,6.224329,6.230435,6.224312,6.233598,6.233586,8.239811,9.63197,9.636301,9.632166,9.640041,9.640029,11.34967
NORAD25544,ISS (ZARYA),24,3000,False,evaluated,46659,46261,398,0.853,28096,8488,9677,age_ridge,7.346606,7.377555,-0.4213,closed,closed,closed,closed,closed,closed,12.708824,12.737659,0.028836,0.2269,-0.2269,4108,5560,9,0.424512,0.028836,0.01616,0.025169,0.032478,0.0,0.0,0.0,2001,0.02476,0.033031,True,34.758713,34.799716,60.360225,60.387706,0.002919,0.002919,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",7.377555,-0.398278997,7.346606,7.349767,7.346684,7.377635,7.377555,12.020929,12.708824,12.711134,12.709013,12.737732,12.737659,16.729101
