satellite,satellite_name,norad_id,element_id,epoch_utc,same_epoch_rows,distinct_physical_solutions,policy,resolution,chosen_gp_id,chosen_creation_date,chosen_file,competing_gp_ids
NORAD25544,ISS (ZARYA),25544,25544|1999-09-17T00:25:19.235+00:00,1999-09-17T00:25:19.235136+00:00,2,2,earliest_published,same_epoch_revision,31459852,2004-08-17T15:26:00,35569,31459852;31459853
NORAD25544,ISS (ZARYA),25544,25544|2001-05-04T20:06:09.000+00:00,2001-05-04T20:06:09.000288+00:00,2,2,earliest_published,same_epoch_revision,106221,2004-05-27T14:23:33,5827,106221;36627529
NORAD25544,ISS (ZARYA),25544,25544|2002-02-15T21:58:47.585+00:00,2002-02-15T21:58:47.585855+00:00,2,2,earliest_published,same_epoch_revision,2150570,2004-05-28T18:55:02,6545,2150570;37264532
NORAD25544,ISS (ZARYA),25544,25544|2002-03-12T18:09:51.622+00:00,2002-03-12T18:09:51.622272+00:00,2,2,earliest_published,same_epoch_revision,2321651,2004-05-28T18:56:26,6573,2321651;37320637
NORAD25544,ISS (ZARYA),25544,25544|2002-11-11T19:08:50.000+00:00,2002-11-11T19:08:50.000351+00:00,2,2,earliest_published,same_epoch_revision,4038583,2004-05-28T19:17:53,7002,37828820;4038583
NORAD25544,ISS (ZARYA),25544,25544|2003-01-17T20:24:27.000+00:00,2003-01-17T20:24:27+00:00,2,2,earliest_published,same_epoch_revision,4518723,2004-05-29T18:11:48,7158,37965641;4518723
NORAD25544,ISS (ZARYA),25544,25544|2004-06-02T10:05:59.999+00:00,2004-06-02T10:05:59.999711+00:00,2,2,earliest_published,same_epoch_revision,7924050,2004-06-02T09:42:40,8719,38957382;7924050
NORAD25544,ISS (ZARYA),25544,25544|2004-06-22T22:59:19.999+00:00,2004-06-22T22:59:19.999967+00:00,2,2,earliest_published,same_epoch_revision,8004933,2004-06-22T17:10:59,15443,8004933;8004935
NORAD25544,ISS (ZARYA),25544,25544|2004-06-27T22:16:49.999+00:00,2004-06-27T22:16:49.999871+00:00,2,2,earliest_published,same_epoch_revision,8185059,2004-06-27T17:43:05,17194,8185059;8209884
NORAD25544,ISS (ZARYA),25544,25544|2004-06-30T20:30:59.999+00:00,2004-06-30T20:30:59.999904+00:00,2,2,earliest_published,same_epoch_revision,8230919,2004-06-30T16:26:15,18244,8230919;8231929
NORAD25544,ISS (ZARYA),25544,25544|2004-07-05T18:14:09.999+00:00,2004-07-05T18:14:09.999743+00:00,2,2,earliest_published,same_epoch_revision,8280349,2004-07-05T12:30:16,19937,8280349;8280354
NORAD25544,ISS (ZARYA),25544,25544|2004-07-07T17:34:20.000+00:00,2004-07-07T17:34:20.000352+00:00,2,2,earliest_published,same_epoch_revision,8297454,2004-07-07T13:14:42,20285,8297454;8297467
NORAD25544,ISS (ZARYA),25544,25544|2004-07-15T17:27:09.000+00:00,2004-07-15T17:27:09+00:00,2,2,earliest_published,same_epoch_revision,8377232,2004-07-15T13:31:20,23276,8377232;8377234
NORAD25544,ISS (ZARYA),25544,25544|2004-07-27T09:39:19.999+00:00,2004-07-27T09:39:19.999584+00:00,2,2,earliest_published,same_epoch_revision,8489155,2004-07-27T04:53:41,27272,8489155;8489161
NORAD25544,ISS (ZARYA),25544,25544|2004-08-03T18:41:49.318+00:00,2004-08-03T18:41:49.318656+00:00,2,2,earliest_published,same_epoch_revision,8566714,2004-08-03T16:26:32,29927,8566714;8566720
NORAD25544,ISS (ZARYA),25544,25544|2004-08-05T05:56:45.000+00:00,2004-08-05T05:56:45.000384+00:00,2,2,earliest_published,same_epoch_revision,8579055,2004-08-05T00:49:25,30395,8579055;8579082
NORAD25544,ISS (ZARYA),25544,25544|2004-08-06T18:21:21.425+00:00,2004-08-06T18:21:21.425184+00:00,2,2,earliest_published,same_epoch_revision,8638575,2004-08-12T16:29:35,30963,8638575;8638598
NORAD25544,ISS (ZARYA),25544,25544|2004-08-08T22:31:26.723+00:00,2004-08-08T22:31:26.723999+00:00,2,2,earliest_published,same_epoch_revision,8611243,2004-08-12T14:26:35,30484,8611243;8645659
NORAD25544,ISS (ZARYA),25544,25544|2004-08-09T04:38:00.000+00:00,2004-08-09T04:38:00.000384+00:00,2,2,earliest_published,same_epoch_revision,8646632,2004-08-12T17:51:36,31960,8646632;8646658
NORAD25544,ISS (ZARYA),25544,25544|2004-08-18T05:03:46.876+00:00,2004-08-18T05:03:46.876608+00:00,2,2,earliest_published,same_epoch_revision,25575428,2004-08-18T00:39:19,35285,25575428;25584469
NORAD25544,ISS (ZARYA),25544,25544|2004-08-19T22:36:49.999+00:00,2004-08-19T22:36:49.999967+00:00,2,2,earliest_published,same_epoch_revision,38077302,2004-08-20T09:36:36,36159,38077302;38163809
NORAD25544,ISS (ZARYA),25544,25544|2004-08-24T21:47:29.999+00:00,2004-08-24T21:47:29.999903+00:00,2,2,earliest_published,same_epoch_revision,39007196,2004-08-24T16:57:54,37933,39007196;39007200
NORAD25544,ISS (ZARYA),25544,25544|2004-08-29T02:19:16.011+00:00,2004-08-29T02:19:16.011839+00:00,2,2,earliest_published,same_epoch_revision,39042307,2004-08-28T20:50:33,39266,39042307;39042308
