cell,staleness_h,selected_model,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,val_sgp4_mae_hz,val_learned_mae_hz,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
NORAD66741->NORAD66741,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.264325,0.293662,0.571785,0.617125,0.777441,0.819316,0.0,0.0
NORAD66741->NORAD66741,24,linear_bias_rate,closed,closed,closed,closed,closed,closed,0.840583,0.84946,2.193076,2.242766,2.871443,2.91593,0.0,0.0
NORAD66741->NORAD66741,48,stale_age_ridge,closed,closed,closed,closed,closed,closed,2.156048,2.167221,6.514386,6.51905,7.994224,7.997115,0.0,0.0
NORAD66741->NORAD66741,72,linear_bias_rate,closed,closed,closed,closed,closed,closed,4.861547,4.853436,13.38284,13.396407,16.99964,17.013241,0.0,0.0
NORAD66741->NORAD66741,96,linear_bias_rate,closed,closed,closed,closed,closed,closed,9.476874,9.455181,23.365695,23.379536,30.900228,30.911635,0.0,0.0
NORAD66741->NORAD66741,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,27.381699,27.396069,82.3138,82.313871,107.419506,107.422641,0.001792,0.001792
NORAD68474->NORAD68474,8,stale_age_ridge,closed,closed,open,closed,closed,closed,0.218165,0.208653,0.640248,0.640599,0.78685,0.786359,0.0,0.0
NORAD68474->NORAD68474,24,ridge,closed,closed,open,closed,closed,closed,0.629109,0.598376,2.242219,2.396866,2.904521,3.078558,0.0,0.0
NORAD68474->NORAD68474,48,ridge,closed,closed,open,closed,closed,closed,1.136671,1.085275,5.27615,5.476886,6.670849,6.893173,0.0,0.0
NORAD68474->NORAD68474,72,stale_age_ridge,closed,closed,closed,closed,closed,closed,1.893941,1.84269,7.830972,7.885147,9.297955,9.357497,0.0,0.0
NORAD68474->NORAD68474,96,stale_age_ridge,closed,closed,closed,closed,closed,closed,2.492873,2.475456,10.310719,10.348305,12.601626,12.655288,0.0,0.0
NORAD68474->NORAD68474,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,5.588089,5.578595,53.331451,53.335437,72.433808,72.43274,0.000992,0.000992
NORAD66741->NORAD68474,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.218165,0.22684,0.640248,0.636605,0.78685,0.770216,0.0,0.0
NORAD66741->NORAD68474,24,linear_bias_rate,closed,closed,closed,closed,closed,closed,0.629109,0.626285,2.242219,2.203369,2.904521,2.852596,0.0,0.0
NORAD66741->NORAD68474,48,stale_age_ridge,closed,closed,closed,closed,closed,closed,1.136671,1.172324,5.27615,5.308231,6.670849,6.696679,0.0,0.0
NORAD66741->NORAD68474,72,linear_bias_rate,closed,closed,closed,closed,closed,closed,1.893941,1.879111,7.830972,7.821357,9.297955,9.290445,0.0,0.0
NORAD66741->NORAD68474,96,linear_bias_rate,closed,closed,closed,closed,closed,closed,2.492873,2.527418,10.310719,10.284502,12.601626,12.563976,0.0,0.0
NORAD66741->NORAD68474,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,5.588089,5.605502,53.331451,53.299374,72.433808,72.402318,0.000992,0.000992
NORAD68474->NORAD66741,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.264325,0.264026,0.571785,0.573945,0.777441,0.780098,0.0,0.0
NORAD68474->NORAD66741,24,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.840583,0.836809,2.193076,2.187264,2.871443,2.867134,0.0,0.0
NORAD68474->NORAD66741,48,stale_age_ridge,closed,closed,closed,closed,closed,closed,2.156048,2.145365,6.514386,6.502182,7.994224,7.988448,0.0,0.0
NORAD68474->NORAD66741,72,stale_age_ridge,closed,closed,closed,closed,closed,closed,4.861547,4.828398,13.38284,13.369958,16.99964,16.995922,0.0,0.0
NORAD68474->NORAD66741,96,stale_age_ridge,closed,closed,closed,closed,closed,closed,9.476874,9.447153,23.365695,23.361408,30.900228,30.893428,0.0,0.0
NORAD68474->NORAD66741,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,27.381699,27.32248,82.3138,82.079465,107.419506,107.197554,0.001792,0.001792
