cell,source_satellite,source_name,target_satellite,target_name,relation,staleness_h,status,reject_hz,gamma,f_tol_hz,n_train_pairs,n_validation_pairs,n_test_pairs,rejected_train_pairs,rejected_validation_pairs,rejected_test_pairs,reject_rate_source_pct,reject_rate_target_pct,selected_model,ridge_alpha,val_sgp4_mae_hz,val_learned_mae_hz,val_degradation_pct,gate_decision,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,deployed_test_mae_hz
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,8,evaluated,1500.0,0.95,500.0,166,92,60,0,0,0,0.0,0.0,stale_age_ridge,1000.0,0.264325,0.293662,11.099,closed,0.211521,0.238624,0.027104,12.8137,0.211521
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,24,evaluated,1500.0,0.95,500.0,196,114,82,5,0,0,1.259,1.259,linear_bias_rate,,0.840583,0.84946,1.056,closed,0.8157,0.829296,0.013596,1.6668,0.8157
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,48,evaluated,1500.0,0.95,500.0,188,118,88,4,0,0,1.005,1.005,stale_age_ridge,1000.0,2.156048,2.167221,0.5182,closed,2.40817,2.425326,0.017156,0.7124,2.40817
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,72,evaluated,1500.0,0.95,500.0,181,124,87,9,0,0,2.244,2.244,linear_bias_rate,,4.861547,4.853436,-0.1668,closed,4.881554,4.879565,-0.001989,-0.0407,4.881554
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,96,evaluated,1500.0,0.95,500.0,179,123,89,12,0,0,2.978,2.978,linear_bias_rate,,9.476874,9.455181,-0.2289,closed,8.604743,8.611706,0.006962,0.0809,8.604743
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,168,evaluated,1500.0,0.95,500.0,171,124,93,17,0,0,4.198,4.198,stale_age_ridge,1000.0,27.381699,27.396069,0.0525,closed,29.743709,29.778295,0.034586,0.1163,29.743709
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,8,evaluated,1500.0,0.95,500.0,126,32,25,0,0,0,0.0,0.0,stale_age_ridge,0.01,0.218165,0.208653,-4.3602,closed,0.216634,0.216443,-0.000191,-0.088,0.216634
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,24,evaluated,1500.0,0.95,500.0,145,45,39,0,0,0,0.0,0.0,ridge,0.01,0.629109,0.598376,-4.885,closed,0.781378,0.829917,0.048539,6.212,0.781378
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,48,evaluated,1500.0,0.95,500.0,138,45,38,0,0,0,0.0,0.0,ridge,0.01,1.136671,1.085275,-4.5216,closed,1.74625,1.806707,0.060458,3.4621,1.74625
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,72,evaluated,1500.0,0.95,500.0,141,44,38,0,0,0,0.0,0.0,stale_age_ridge,0.01,1.893941,1.84269,-2.706,closed,2.558582,2.571773,0.013191,0.5156,2.558582
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,96,evaluated,1500.0,0.95,500.0,150,44,41,0,0,0,0.0,0.0,stale_age_ridge,1.0,2.492873,2.475456,-0.6987,closed,3.415531,3.424188,0.008657,0.2535,3.415531
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,168,evaluated,1500.0,0.95,500.0,153,46,42,0,0,0,0.0,0.0,stale_age_ridge,100.0,5.588089,5.578595,-0.1699,closed,17.690351,17.687564,-0.002787,-0.0158,17.690351
NORAD66741->NORAD68474,NORAD66741,BLACK KITE-1,NORAD68474,BLACK KITE-2,cross_satellite,8,evaluated,1500.0,0.95,500.0,166,32,25,0,0,0,0.0,0.0,stale_age_ridge,100.0,0.218165,0.22684,3.976,closed,0.216634,0.286415,0.069781,32.2115,0.216634
NORAD66741->NORAD68474,NORAD66741,BLACK KITE-1,NORAD68474,BLACK KITE-2,cross_satellite,24,evaluated,1500.0,0.95,500.0,196,45,39,5,0,0,1.259,0.0,linear_bias_rate,,0.629109,0.626285,-0.4488,closed,0.781378,0.833735,0.052356,6.7005,0.781378
NORAD66741->NORAD68474,NORAD66741,BLACK KITE-1,NORAD68474,BLACK KITE-2,cross_satellite,48,evaluated,1500.0,0.95,500.0,188,45,38,4,0,0,1.005,0.0,stale_age_ridge,1000.0,1.136671,1.172324,3.1366,closed,1.74625,1.761441,0.015191,0.8699,1.74625
NORAD66741->NORAD68474,NORAD66741,BLACK KITE-1,NORAD68474,BLACK KITE-2,cross_satellite,72,evaluated,1500.0,0.95,500.0,181,44,38,9,0,0,2.244,0.0,linear_bias_rate,,1.893941,1.879111,-0.783,closed,2.558582,2.564912,0.00633,0.2474,2.558582
