cell,source_satellite,source_name,target_satellite,target_name,relation,staleness_h,status,reject_hz,gamma,f_tol_hz,n_train_pairs,n_validation_pairs,n_test_pairs,rejected_train_pairs,rejected_validation_pairs,rejected_test_pairs,reject_rate_source_pct,reject_rate_target_pct,selected_model,ridge_alpha,val_sgp4_mae_hz,val_learned_mae_hz,val_degradation_pct,gate_decision,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,deployed_test_mae_hz
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,8,evaluated,1500.0,0.95,500.0,166,92,60,0,0,0,0.0,0.0,stale_age_ridge,1000.0,0.264366,0.293693,11.0936,closed,0.211549,0.238678,0.027129,12.824,0.211549
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,24,evaluated,1500.0,0.95,500.0,196,114,82,5,0,0,1.259,1.259,linear_bias_rate,,0.840533,0.849239,1.0358,closed,0.815942,0.829541,0.0136,1.6667,0.815942
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,48,evaluated,1500.0,0.95,500.0,188,118,88,4,0,0,1.005,1.005,stale_age_ridge,1000.0,2.155839,2.167022,0.5187,closed,2.408146,2.425303,0.017157,0.7125,2.408146
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,72,evaluated,1500.0,0.95,500.0,181,124,87,9,0,0,2.244,2.244,linear_bias_rate,,4.861214,4.853108,-0.1667,closed,4.881732,4.879743,-0.001989,-0.0407,4.881732
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,96,evaluated,1500.0,0.95,500.0,179,123,89,12,0,0,2.978,2.978,linear_bias_rate,,9.476485,9.454783,-0.229,closed,8.604801,8.611763,0.006962,0.0809,8.604801
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,168,evaluated,1500.0,0.95,500.0,171,124,93,17,0,0,4.198,4.198,stale_age_ridge,1000.0,27.38186,27.396229,0.0525,closed,29.743879,29.778464,0.034586,0.1163,29.743879
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,8,evaluated,1500.0,0.95,500.0,126,32,25,0,0,0,0.0,0.0,stale_age_ridge,0.01,0.218869,0.209133,-4.4483,closed,0.217342,0.216866,-0.000476,-0.2191,0.217342
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,24,evaluated,1500.0,0.95,500.0,145,45,39,0,0,0,0.0,0.0,ridge,0.01,0.629296,0.598285,-4.9279,closed,0.780488,0.829394,0.048906,6.2661,0.780488
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,48,evaluated,1500.0,0.95,500.0,138,45,38,0,0,0,0.0,0.0,ridge,0.01,1.136608,1.08526,-4.5176,closed,1.744989,1.80571,0.060721,3.4797,1.744989
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,72,evaluated,1500.0,0.95,500.0,141,44,38,0,0,0,0.0,0.0,stale_age_ridge,0.01,1.894186,1.842973,-2.7037,closed,2.558631,2.571839,0.013208,0.5162,2.558631
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,96,evaluated,1500.0,0.95,500.0,150,44,41,0,0,0,0.0,0.0,stale_age_ridge,1.0,2.492694,2.475295,-0.698,closed,3.414934,3.423862,0.008928,0.2614,3.414934
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,168,evaluated,1500.0,0.95,500.0,153,46,42,0,0,0,0.0,0.0,stale_age_ridge,100.0,5.587868,5.578371,-0.17,closed,17.690783,17.687995,-0.002788,-0.0158,17.690783
NORAD66741->NORAD68474,NORAD66741,BLACK KITE-1,NORAD68474,BLACK KITE-2,cross_satellite,8,evaluated,1500.0,0.95,500.0,166,32,25,0,0,0,0.0,0.0,stale_age_ridge,100.0,0.218869,0.227149,3.7829,closed,0.217342,0.286958,0.069617,32.0309,0.217342
NORAD66741->NORAD68474,NORAD66741,BLACK KITE-1,NORAD68474,BLACK KITE-2,cross_satellite,24,evaluated,1500.0,0.95,500.0,196,45,39,5,0,0,1.259,0.0,linear_bias_rate,,0.629296,0.626098,-0.5082,closed,0.780488,0.833007,0.052519,6.7291,0.780488
NORAD66741->NORAD68474,NORAD66741,BLACK KITE-1,NORAD68474,BLACK KITE-2,cross_satellite,48,evaluated,1500.0,0.95,500.0,188,45,38,4,0,0,1.005,0.0,stale_age_ridge,1000.0,1.136608,1.172261,3.1368,closed,1.744989,1.760208,0.015219,0.8722,1.744989
NORAD66741->NORAD68474,NORAD66741,BLACK KITE-1,NORAD68474,BLACK KITE-2,cross_satellite,72,evaluated,1500.0,0.95,500.0,181,44,38,9,0,0,2.244,0.0,linear_bias_rate,,1.894186,1.879353,-0.7831,closed,2.558631,2.564979,0.006348,0.2481,2.558631
NORAD66741->NORAD68474,NORAD66741,BLACK KITE-1,NORAD68474,BLACK KITE-2,cross_satellite,96,evaluated,1500.0,0.95,500.0,179,44,41,12,0,0,2.978,0.0,linear_bias_rate,,2.492694,2.527245,1.3861,closed,3.414934,3.450924,0.03599,1.0539,3.414934
NORAD66741->NORAD68474,NORAD66741,BLACK KITE-1,NORAD68474,BLACK KITE-2,cross_satellite,168,evaluated,1500.0,0.95,500.0,171,46,42,17,0,0,4.198,0.0,stale_age_ridge,1000.0,5.587868,5.605286,0.3117,closed,17.690783,17.70962,0.018836,0.1065,17.690783
NORAD68474->NORAD66741,NORAD68474,BLACK KITE-2,NORAD66741,BLACK KITE-1,cross_satellite,8,evaluated,1500.0,0.95,500.0,126,92,60,0,0,0,0.0,0.0,stale_age_ridge,100.0,0.264366,0.264081,-0.1078,closed,0.211549,0.211493,-5.7e-05,-0.0267,0.211549
NORAD68474->NORAD66741,NORAD68474,BLACK KITE-2,NORAD66741,BLACK KITE-1,cross_satellite,24,evaluated,1500.0,0.95,500.0,145,114,82,0,0,0,0.0,1.259,stale_age_ridge,0.01,0.840533,0.836769,-0.4478,closed,0.815942,0.808474,-0.007467,-0.9152,0.815942
NORAD68474->NORAD66741,NORAD68474,BLACK KITE-2,NORAD66741,BLACK KITE-1,cross_satellite,48,evaluated,1500.0,0.95,500.0,138,118,88,0,0,0,0.0,1.005,stale_age_ridge,0.01,2.155839,2.14513,-0.4967,closed,2.408146,2.394235,-0.013911,-0.5776,2.408146
NORAD68474->NORAD66741,NORAD68474,BLACK KITE-2,NORAD66741,BLACK KITE-1,cross_satellite,72,evaluated,1500.0,0.95,500.0,141,124,87,0,0,0,0.0,2.244,stale_age_ridge,0.01,4.861214,4.828071,-0.6818,closed,4.881732,4.858548,-0.023184,-0.4749,4.881732
