satellite_key,satellite_name,norad_id,constellation_family,regime,records,epoch_start_utc,epoch_end_utc,epoch_span_days,median_gap_h,p10_gap_h,p90_gap_h,mean_altitude_km,min_altitude_km,max_altitude_km,mean_inclination_deg,mean_eccentricity,min_eccentricity,max_eccentricity,mean_bstar,min_bstar,max_bstar,staleness_h,accepted_pairs,rejected_pairs,reject_rate_pct,train_pairs,val_pairs,test_pairs,band_supported
NORAD25544,ISS (ZARYA),25544,unknown,alt300-500km_inc0-60deg,46126,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,10110.126,4.532,1.556,9.256,388.222427,258.880917,422.166699,51.636953,0.000685,3e-06,0.012586,0.000209,-0.11407,0.51559,8,43556,69,0.158,27152,7514,8890,True
NORAD25544,ISS (ZARYA),25544,unknown,alt300-500km_inc0-60deg,46126,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,10110.126,4.532,1.556,9.256,388.222427,258.880917,422.166699,51.636953,0.000685,3e-06,0.012586,0.000209,-0.11407,0.51559,24,45183,721,1.571,27710,8164,9309,True
NORAD25544,ISS (ZARYA),25544,unknown,alt300-500km_inc0-60deg,46126,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,10110.126,4.532,1.556,9.256,388.222427,258.880917,422.166699,51.636953,0.000685,3e-06,0.012586,0.000209,-0.11407,0.51559,48,43855,2110,4.59,26849,8042,8964,True
NORAD25544,ISS (ZARYA),25544,unknown,alt300-500km_inc0-60deg,46126,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,10110.126,4.532,1.556,9.256,388.222427,258.880917,422.166699,51.636953,0.000685,3e-06,0.012586,0.000209,-0.11407,0.51559,72,41910,4016,8.745,25569,7842,8499,True
NORAD25544,ISS (ZARYA),25544,unknown,alt300-500km_inc0-60deg,46126,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,10110.126,4.532,1.556,9.256,388.222427,258.880917,422.166699,51.636953,0.000685,3e-06,0.012586,0.000209,-0.11407,0.51559,96,39743,6256,13.6,24130,7627,7986,True
NORAD25544,ISS (ZARYA),25544,unknown,alt300-500km_inc0-60deg,46126,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,10110.126,4.532,1.556,9.256,388.222427,258.880917,422.166699,51.636953,0.000685,3e-06,0.012586,0.000209,-0.11407,0.51559,168,32921,13091,28.451,19585,6887,6449,True
NORAD56726,IRIDIUM 181,56726,unknown,alt700-900km_inc60-90deg,2656,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1160.937,9.982,1.664,19.967,743.372513,618.910388,747.843123,86.626487,0.000231,8.6e-05,0.001274,0.000147,-0.000148,0.001734,8,1874,0,0.0,924,339,611,True
NORAD56726,IRIDIUM 181,56726,unknown,alt700-900km_inc60-90deg,2656,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1160.937,9.982,1.664,19.967,743.372513,618.910388,747.843123,86.626487,0.000231,8.6e-05,0.001274,0.000147,-0.000148,0.001734,24,2556,0,0.0,1361,479,716,True
NORAD56726,IRIDIUM 181,56726,unknown,alt700-900km_inc60-90deg,2656,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1160.937,9.982,1.664,19.967,743.372513,618.910388,747.843123,86.626487,0.000231,8.6e-05,0.001274,0.000147,-0.000148,0.001734,48,2585,3,0.116,1369,492,724,True
NORAD56726,IRIDIUM 181,56726,unknown,alt700-900km_inc60-90deg,2656,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1160.937,9.982,1.664,19.967,743.372513,618.910388,747.843123,86.626487,0.000231,8.6e-05,0.001274,0.000147,-0.000148,0.001734,72,2565,6,0.233,1358,487,720,True
NORAD56726,IRIDIUM 181,56726,unknown,alt700-900km_inc60-90deg,2656,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1160.937,9.982,1.664,19.967,743.372513,618.910388,747.843123,86.626487,0.000231,8.6e-05,0.001274,0.000147,-0.000148,0.001734,96,2620,10,0.38,1388,500,732,True
NORAD56726,IRIDIUM 181,56726,unknown,alt700-900km_inc60-90deg,2656,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1160.937,9.982,1.664,19.967,743.372513,618.910388,747.843123,86.626487,0.000231,8.6e-05,0.001274,0.000147,-0.000148,0.001734,168,2616,25,0.947,1379,503,734,True
NORAD56727,IRIDIUM 177,56727,unknown,alt500-700km_inc60-90deg,2599,2023-05-22T16:28:48.333792+00:00,2026-07-26T12:51:17.007264+00:00,1160.849,9.735,1.622,21.092,628.590898,618.739323,629.286017,86.208798,0.000239,0.000147,0.001287,0.000239,-0.00096,0.002058,8,1832,0,0.0,876,355,601,True
NORAD56727,IRIDIUM 177,56727,unknown,alt500-700km_inc60-90deg,2599,2023-05-22T16:28:48.333792+00:00,2026-07-26T12:51:17.007264+00:00,1160.849,9.735,1.622,21.092,628.590898,618.739323,629.286017,86.208798,0.000239,0.000147,0.001287,0.000239,-0.00096,0.002058,24,2519,1,0.04,1342,476,701,True
NORAD56727,IRIDIUM 177,56727,unknown,alt500-700km_inc60-90deg,2599,2023-05-22T16:28:48.333792+00:00,2026-07-26T12:51:17.007264+00:00,1160.849,9.735,1.622,21.092,628.590898,618.739323,629.286017,86.208798,0.000239,0.000147,0.001287,0.000239,-0.00096,0.002058,48,2504,2,0.08,1333,474,697,True
NORAD56727,IRIDIUM 177,56727,unknown,alt500-700km_inc60-90deg,2599,2023-05-22T16:28:48.333792+00:00,2026-07-26T12:51:17.007264+00:00,1160.849,9.735,1.622,21.092,628.590898,618.739323,629.286017,86.208798,0.000239,0.000147,0.001287,0.000239,-0.00096,0.002058,72,2518,9,0.356,1334,477,707,True
NORAD56727,IRIDIUM 177,56727,unknown,alt500-700km_inc60-90deg,2599,2023-05-22T16:28:48.333792+00:00,2026-07-26T12:51:17.007264+00:00,1160.849,9.735,1.622,21.092,628.590898,618.739323,629.286017,86.208798,0.000239,0.000147,0.001287,0.000239,-0.00096,0.002058,96,2560,17,0.66,1356,493,711,True
NORAD56727,IRIDIUM 177,56727,unknown,alt500-700km_inc60-90deg,2599,2023-05-22T16:28:48.333792+00:00,2026-07-26T12:51:17.007264+00:00,1160.849,9.735,1.622,21.092,628.590898,618.739323,629.286017,86.208798,0.000239,0.000147,0.001287,0.000239,-0.00096,0.002058,168,2523,63,2.436,1318,496,709,True
