cell,staleness_h,selected_model,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,val_sgp4_mae_hz,val_learned_mae_hz,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
NORAD66741->NORAD66741,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.250167,0.29993,0.576445,0.680008,0.784354,0.882088,0.0,0.0
NORAD66741->NORAD66741,24,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.894079,0.904002,2.165258,2.165051,2.846922,2.847093,0.0,0.0
NORAD66741->NORAD66741,48,stale_age_ridge,closed,closed,closed,closed,closed,closed,2.18931,2.197718,5.958114,5.959201,7.382428,7.383029,0.0,0.0
NORAD66741->NORAD66741,72,linear_bias_rate,closed,closed,closed,closed,closed,closed,4.899945,4.891286,13.456497,13.472494,17.100454,17.116378,0.0,0.0
NORAD66741->NORAD66741,96,linear_bias_rate,closed,closed,closed,closed,closed,closed,9.495018,9.476023,23.513143,23.519687,31.111703,31.11657,0.0,0.0
NORAD66741->NORAD66741,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,27.009628,27.015763,81.879701,81.908299,107.147902,107.178687,0.001812,0.001812
NORAD68474->NORAD68474,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.236165,0.226872,0.660775,0.66075,0.811701,0.810794,0.0,0.0
NORAD68474->NORAD68474,24,ridge,closed,closed,closed,closed,closed,closed,0.680071,0.651958,2.291686,2.436566,2.965407,3.131195,0.0,0.0
NORAD68474->NORAD68474,48,ridge,open,open,open,closed,closed,closed,1.203784,1.13095,5.369146,5.544596,6.796494,6.995554,0.0,0.0
NORAD68474->NORAD68474,72,stale_age_ridge,closed,closed,closed,closed,closed,closed,1.870372,1.798774,7.890507,7.94702,9.379785,9.439902,0.0,0.0
NORAD68474->NORAD68474,96,stale_age_ridge,closed,closed,closed,closed,closed,closed,2.549438,2.521199,10.318292,10.362449,12.608481,12.670948,0.0,0.0
NORAD68474->NORAD68474,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,5.207404,5.200095,53.816061,53.818283,73.075904,73.072667,0.001016,0.001016
NORAD66741->NORAD68474,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.236165,0.272191,0.660775,0.70998,0.811701,0.847048,0.0,0.0
NORAD66741->NORAD68474,24,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.680071,0.680524,2.291686,2.395259,2.965407,3.077089,0.0,0.0
NORAD66741->NORAD68474,48,stale_age_ridge,closed,closed,closed,closed,closed,closed,1.203784,1.227114,5.369146,5.395037,6.796494,6.818338,0.0,0.0
NORAD66741->NORAD68474,72,linear_bias_rate,closed,closed,closed,closed,closed,closed,1.870372,1.850755,7.890507,7.885547,9.379785,9.377193,0.0,0.0
NORAD66741->NORAD68474,96,linear_bias_rate,closed,closed,closed,closed,closed,closed,2.549438,2.575792,10.318292,10.314751,12.608481,12.603218,0.0,0.0
NORAD66741->NORAD68474,168,linear_bias_rate,closed,closed,closed,closed,closed,closed,5.207404,5.222384,53.816061,53.88491,73.075904,73.145242,0.001016,0.001016
NORAD68474->NORAD66741,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.250167,0.250174,0.576445,0.577092,0.784354,0.785009,0.0,0.0
NORAD68474->NORAD66741,24,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.894079,0.890331,2.165258,2.160164,2.846922,2.842907,0.0,0.0
NORAD68474->NORAD66741,48,stale_age_ridge,closed,closed,closed,closed,closed,closed,2.18931,2.177517,5.958114,5.946777,7.382428,7.377917,0.0,0.0
NORAD68474->NORAD66741,72,stale_age_ridge,closed,closed,closed,closed,closed,closed,4.899945,4.866637,13.456497,13.442098,17.100454,17.095747,0.0,0.0
NORAD68474->NORAD66741,96,stale_age_ridge,closed,closed,closed,closed,closed,closed,9.495018,9.461233,23.513143,23.506372,31.111703,31.101276,0.0,0.0
NORAD68474->NORAD66741,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,27.009628,26.940242,81.879701,81.624427,107.147902,106.902724,0.001812,0.001812
