cell,staleness_h,n_unique_test_pair_ids,learned_wins,sgp4_wins,ties,learned_pair_win_rate,median_pair_delta_mae_hz,mean_pair_delta_mae_hz,boot_ci_low_hz,boot_ci_high_hz,sign_test_p
NORAD66741->NORAD66741,8,59,13,46,0,0.220339,0.057413,0.054535,0.040736,0.068741,1.9e-05
NORAD66741->NORAD66741,24,81,38,43,0,0.469136,0.001169,0.007615,-0.002707,0.019273,0.656992
NORAD66741->NORAD66741,48,87,38,49,0,0.436782,0.009021,0.011268,0.000226,0.022174,0.283607
NORAD66741->NORAD66741,72,86,47,39,0,0.546512,-0.003815,-0.002951,-0.011535,0.006602,0.450548
NORAD66741->NORAD66741,96,88,46,42,0,0.522727,-0.004069,0.012134,-0.017654,0.042457,0.749329
NORAD66741->NORAD66741,168,92,34,58,0,0.369565,0.004889,0.014327,0.003159,0.025523,0.01602
NORAD68474->NORAD68474,8,24,11,13,0,0.458333,0.001815,-0.001107,-0.009123,0.006295,0.83882
NORAD68474->NORAD68474,24,38,9,29,0,0.236842,0.132135,0.067405,0.030153,0.10272,0.001658
NORAD68474->NORAD68474,48,37,11,26,0,0.297297,0.189632,0.076081,0.005958,0.138662,0.020074
NORAD68474->NORAD68474,72,37,15,22,0,0.405405,0.012878,0.015632,-0.022453,0.050748,0.324009
NORAD68474->NORAD68474,96,41,16,25,0,0.390244,0.012374,0.018646,-0.029435,0.066332,0.211024
NORAD68474->NORAD68474,168,41,21,20,0,0.512195,-0.028187,-0.002932,-0.029249,0.024055,1.0
NORAD66741->NORAD68474,8,24,4,20,0,0.166667,0.037498,0.038653,0.023012,0.0541,0.001544
NORAD66741->NORAD68474,24,38,10,28,0,0.263158,0.048833,0.035914,0.005463,0.06742,0.005098
NORAD66741->NORAD68474,48,37,18,19,0,0.486486,0.00063,0.0091,-0.010374,0.02878,1.0
NORAD66741->NORAD68474,72,37,16,21,0,0.432432,0.020885,0.004544,-0.011961,0.019171,0.511376
NORAD66741->NORAD68474,96,41,18,23,0,0.439024,0.093465,0.024149,-0.024856,0.073327,0.532709
NORAD66741->NORAD68474,168,41,20,21,0,0.487805,0.012518,-0.015485,-0.048605,0.016752,1.0
NORAD68474->NORAD66741,8,59,30,29,0,0.508475,-6.4e-05,-8e-06,-0.000817,0.000785,1.0
NORAD68474->NORAD66741,24,81,46,35,0,0.567901,-0.012099,-0.007625,-0.016493,0.001114,0.266412
NORAD68474->NORAD66741,48,87,44,43,0,0.505747,-0.000532,-0.014128,-0.031792,0.003399,1.0
NORAD68474->NORAD66741,72,86,46,40,0,0.534884,-0.028942,-0.02391,-0.049066,0.003242,0.590036
NORAD68474->NORAD66741,96,88,42,46,0,0.477273,0.029839,-0.017214,-0.054479,0.019555,0.749329
NORAD68474->NORAD66741,168,92,56,36,0,0.608696,-0.272814,-0.161442,-0.311986,-0.016798,0.047012
