cell,source_satellite,source_name,target_satellite,target_name,relation,staleness_h,status,reject_hz,gamma,f_tol_hz,n_train_pairs,n_validation_pairs,n_test_pairs,rejected_train_pairs,rejected_validation_pairs,rejected_test_pairs,reject_rate_source_pct,reject_rate_target_pct,selected_model,ridge_alpha,val_sgp4_mae_hz,val_learned_mae_hz,val_degradation_pct,gate_decision,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,deployed_test_mae_hz
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,8,evaluated,1500.0,0.95,500.0,164,86,59,0,0,0,0.0,0.0,stale_age_ridge,1000.0,0.250167,0.29993,19.8917,closed,0.212967,0.267503,0.054535,25.6075,0.212967
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,24,evaluated,1500.0,0.95,500.0,186,110,81,5,0,0,1.309,1.309,stale_age_ridge,1000.0,0.894079,0.904002,1.1099,closed,0.807949,0.815564,0.007615,0.9425,0.807949
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,48,evaluated,1500.0,0.95,500.0,182,115,87,5,0,0,1.285,1.285,stale_age_ridge,1000.0,2.18931,2.197718,0.384,closed,2.22604,2.237308,0.011268,0.5062,2.22604
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,72,evaluated,1500.0,0.95,500.0,173,121,86,8,0,0,2.062,2.062,linear_bias_rate,,4.899945,4.891286,-0.1767,closed,4.909199,4.906249,-0.002951,-0.0601,4.909199
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,96,evaluated,1500.0,0.95,500.0,174,120,88,12,0,0,3.046,3.046,linear_bias_rate,,9.495018,9.476023,-0.2001,closed,8.660001,8.672135,0.012134,0.1401,8.660001
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,168,evaluated,1500.0,0.95,500.0,168,121,92,18,0,0,4.511,4.511,stale_age_ridge,1000.0,27.009628,27.015763,0.0227,closed,29.620002,29.634329,0.014327,0.0484,29.620002
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,8,evaluated,1500.0,0.95,500.0,124,26,24,0,0,0,0.0,0.0,stale_age_ridge,0.01,0.236165,0.226872,-3.9348,closed,0.223279,0.222171,-0.001107,-0.496,0.223279
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,24,evaluated,1500.0,0.95,500.0,142,39,38,0,0,0,0.0,0.0,ridge,0.01,0.680071,0.651958,-4.1338,closed,0.798134,0.86554,0.067405,8.4454,0.798134
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,48,evaluated,1500.0,0.95,500.0,136,41,37,0,0,0,0.0,0.0,ridge,0.01,1.203784,1.13095,-6.0504,open,1.782554,1.858635,0.076081,4.2681,1.858635
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,72,evaluated,1500.0,0.95,500.0,139,40,37,0,0,0,0.0,0.0,stale_age_ridge,0.01,1.870372,1.798774,-3.828,closed,2.582995,2.598627,0.015632,0.6052,2.582995
