satellite,satellite_name,staleness_h,threshold_hz,is_preregistered_threshold,status,candidate_pairs,accepted_pairs,rejected_pairs,reject_rate_pct,n_train_pairs,n_validation_pairs,n_test_pairs,selected_model,val_sgp4_mae_hz,val_learned_mae_hz,val_improvement_pct,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,test_improvement_pct,learned_wins,sgp4_wins,ties,pair_win_rate,mean_pair_delta_mae_hz,median_pair_delta_mae_hz,pair_ci_low_hz,pair_ci_high_hz,sign_test_p,holm_p,bh_q,block_bootstrap_days,block_ci_low_hz,block_ci_high_hz,block_ci_excludes_zero,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
NORAD25544,ISS (ZARYA),8,1500,True,evaluated,43625,43556,69,0.1582,27152,7514,8890,linear_bias_rate,2.06959,2.085102,-0.7495,closed,closed,closed,closed,closed,closed,2.889056,2.899019,0.009963,0.3448,-0.3448,3654,5228,8,0.411024,0.009963,0.017855,0.008891,0.011109,0.0,0.0,0.0,1943,0.008557,0.011363,True,7.465397,7.481941,13.654297,13.6643,0.000183,0.000183
NORAD25544,ISS (ZARYA),24,1500,True,evaluated,45904,45183,721,1.5707,27710,8164,9309,linear_bias_rate,6.13535,6.144665,-0.1518,closed,closed,closed,closed,closed,closed,9.47554,9.483116,0.007576,0.08,-0.08,4084,5215,10,0.438715,0.007576,0.009358,0.005974,0.00925,0.0,0.0,0.0,1995,0.005414,0.009673,True,24.908553,24.922603,44.42283,44.432059,0.001567,0.001567
NORAD25544,ISS (ZARYA),48,1500,True,evaluated,45965,43855,2110,4.5904,26849,8042,8964,linear_bias_rate,13.472713,13.497772,-0.186,closed,closed,closed,closed,closed,closed,21.222459,21.241286,0.018828,0.0887,-0.0887,3955,5006,3,0.441209,0.018828,0.024684,0.014829,0.022865,0.0,0.0,0.0,1989,0.012955,0.024385,True,54.836758,54.864,91.412958,91.430405,0.004825,0.004825
NORAD25544,ISS (ZARYA),72,1500,True,evaluated,45926,41910,4016,8.7445,25569,7842,8499,linear_bias_rate,21.182535,21.227373,-0.2117,closed,closed,closed,closed,closed,closed,33.642267,33.675335,0.033068,0.0983,-0.0983,3720,4777,2,0.437699,0.033068,0.074582,0.026411,0.03983,0.0,0.0,0.0,1969,0.022482,0.04419,True,86.08479,86.099068,141.39641,141.401347,0.009266,0.009276
NORAD25544,ISS (ZARYA),96,1500,True,evaluated,45999,39743,6256,13.6003,24130,7627,7986,linear_bias_rate,27.672109,27.730455,-0.2108,closed,closed,closed,closed,closed,closed,45.304168,45.347861,0.043693,0.0964,-0.0964,3541,4445,0,0.443401,0.043693,0.099868,0.033623,0.054004,0.0,0.0,0.0,1929,0.026917,0.05967,True,114.997678,115.016482,185.10105,185.103562,0.012788,0.012804
NORAD25544,ISS (ZARYA),168,1500,True,evaluated,46012,32921,13091,28.4513,19585,6887,6449,linear_bias_rate,54.533606,54.686461,-0.2803,closed,closed,closed,closed,closed,closed,87.759556,87.878117,0.11856,0.1351,-0.1351,2868,3581,0,0.44472,0.11856,0.251744,0.091209,0.145348,0.0,0.0,0.0,1785,0.073263,0.164064,True,224.639873,224.64352,329.29468,329.261672,0.030444,0.030399
NORAD56726,IRIDIUM 181,8,1500,True,evaluated,1874,1874,0,0.0,924,339,611,stale_age_ridge,0.192511,0.189692,1.4643,closed,closed,closed,closed,closed,closed,0.165467,0.162227,-0.00324,-1.9583,1.9583,377,234,0,0.617021,-0.00324,-0.00318,-0.004056,-0.002421,0.0,0.0,0.0,203,-0.004152,-0.002238,True,0.429276,0.422867,0.535049,0.528566,0.0,0.0
NORAD56726,IRIDIUM 181,24,1500,True,evaluated,2556,2556,0,0.0,1361,479,716,stale_age_ridge,0.722402,0.739865,-2.4173,closed,closed,closed,closed,closed,closed,0.635655,0.650322,0.014667,2.3074,-2.3074,252,464,0,0.351955,0.014667,0.025534,0.009645,0.019993,0.0,0.0,0.0,226,0.007347,0.02191,True,1.68774,1.719685,2.336294,2.366469,0.0,0.0
NORAD56726,IRIDIUM 181,48,1500,True,evaluated,2588,2585,3,0.1159,1369,492,724,stale_age_ridge,1.739292,1.734047,0.3015,closed,closed,closed,closed,closed,closed,1.61579,1.609675,-0.006114,-0.3784,0.3784,370,354,0,0.51105,-0.006114,-0.003181,-0.01477,0.002182,0.577236,1.0,0.6926832,230,-0.01894,0.005244,False,4.29298,4.258401,5.828188,5.798273,0.0,0.0
NORAD56726,IRIDIUM 181,72,1500,True,evaluated,2571,2565,6,0.2334,1358,487,720,stale_age_ridge,3.042358,3.029722,0.4153,closed,closed,closed,closed,closed,closed,2.88429,2.858458,-0.025831,-0.8956,0.8956,382,338,0,0.530556,-0.025831,-0.013452,-0.04037,-0.011456,0.108977,1.0,0.16813594,229,-0.047544,-0.005298,True,7.63121,7.562882,10.313409,10.254033,0.0,0.0
