satellite,satellite_name,norad_id,canonical_source,raw_json_rows,duplicate_json_rows,same_epoch_policy,equivalent_duplicate_rows_collapsed,same_epoch_revision_groups,same_epoch_revision_rows_discarded,conflicting_epochs_dropped,canonical_unique_rows,raw_tle_rows,tle_used_for_science,records_before,records_after,median_gap_before_h,median_gap_after_h
NORAD25544,ISS (ZARYA),25544,json,52538,5679,latest_published,4803,733,876,0,46859,52538,False,92659,46859,0.176,4.518
NORAD56726,IRIDIUM 181,56726,json,3017,339,latest_published,317,22,22,0,2678,3017,False,5347,2678,0.0,9.982
NORAD56727,IRIDIUM 177,56727,json,3042,419,latest_published,394,24,25,0,2623,3042,False,5243,2623,0.0,9.735
NORAD61594,ONEWEB-0015,61594,json,1929,234,latest_published,207,26,27,0,1695,1929,False,3393,1695,0.0,8.0
NORAD66514,SENTINEL-6B,66514,json,838,111,latest_published,85,24,26,0,727,838,False,1480,727,0.0,5.621
NORAD66704,FLOCK 4H 1,66704,json,749,135,latest_published,118,16,17,0,614,749,False,1259,614,0.0,7.895
NORAD66705,FLOCK 4H 2,66705,json,755,120,latest_published,98,22,22,0,635,755,False,1278,635,0.0,7.893
NORAD66741,BLACK KITE-1,66741,json,531,85,latest_published,75,10,10,0,446,531,False,906,446,0.0,6.33
NORAD68474,BLACK KITE-2,68474,json,308,56,latest_published,49,7,7,0,252,308,False,521,252,0.0,8.044
NORAD100001,STARLINK-38128,100001,json,11,0,latest_published,0,0,0,0,11,11,False,20,11,6.083,9.886
NORAD100002,STARLINK-37711,100002,json,9,0,latest_published,0,0,0,0,9,9,False,18,9,0.0,12.927
