cell,staleness_h,selected_model,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,val_sgp4_mae_hz,val_learned_mae_hz,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
NORAD66741->NORAD66741,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.264439,0.293754,0.571786,0.61713,0.777442,0.81932,0.0,0.0
NORAD66741->NORAD66741,24,linear_bias_rate,closed,closed,closed,closed,closed,closed,0.840532,0.849226,2.193075,2.242764,2.871442,2.915927,0.0,0.0
NORAD66741->NORAD66741,48,stale_age_ridge,closed,closed,closed,closed,closed,closed,2.156162,2.167336,6.514385,6.519047,7.994223,7.997111,0.0,0.0
NORAD66741->NORAD66741,72,linear_bias_rate,closed,closed,closed,closed,closed,closed,4.861438,4.853331,13.38284,13.39641,16.99964,17.013244,0.0,0.0
NORAD66741->NORAD66741,96,linear_bias_rate,closed,closed,closed,closed,closed,closed,9.476704,9.455004,23.365696,23.379557,30.900229,30.911654,0.0,0.0
NORAD66741->NORAD66741,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,27.381167,27.395535,82.313944,82.314015,107.419712,107.422846,0.001792,0.001792
NORAD68474->NORAD68474,8,stale_age_ridge,closed,closed,open,closed,closed,closed,0.219065,0.209263,0.642302,0.642472,0.789865,0.789375,0.0,0.0
NORAD68474->NORAD68474,24,ridge,closed,closed,open,closed,closed,closed,0.62921,0.598054,2.239747,2.395824,2.900696,3.076453,0.0,0.0
NORAD68474->NORAD68474,48,ridge,closed,closed,open,closed,closed,closed,1.136541,1.0851,5.272336,5.474554,6.6654,6.889845,0.0,0.0
NORAD68474->NORAD68474,72,stale_age_ridge,closed,closed,closed,closed,closed,closed,1.893882,1.842619,7.831197,7.885371,9.298343,9.357885,0.0,0.0
NORAD68474->NORAD68474,96,stale_age_ridge,closed,closed,closed,closed,closed,closed,2.492103,2.474698,10.310188,10.347798,12.59909,12.652782,0.0,0.0
NORAD68474->NORAD68474,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,5.587662,5.578164,53.332673,53.336664,72.435603,72.434539,0.000992,0.000992
NORAD66741->NORAD68474,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.219065,0.227206,0.642302,0.637251,0.789865,0.77087,0.0,0.0
NORAD66741->NORAD68474,24,linear_bias_rate,closed,closed,closed,closed,closed,closed,0.62921,0.625886,2.239747,2.201183,2.900696,2.848899,0.0,0.0
NORAD66741->NORAD68474,48,stale_age_ridge,closed,closed,closed,closed,closed,closed,1.136541,1.172164,5.272336,5.304403,6.6654,6.69122,0.0,0.0
NORAD66741->NORAD68474,72,linear_bias_rate,closed,closed,closed,closed,closed,closed,1.893882,1.879044,7.831197,7.821577,9.298343,9.290831,0.0,0.0
NORAD66741->NORAD68474,96,linear_bias_rate,closed,closed,closed,closed,closed,closed,2.492103,2.526658,10.310188,10.284777,12.59909,12.562872,0.0,0.0
NORAD66741->NORAD68474,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,5.587662,5.605092,53.332673,53.300592,72.435603,72.404108,0.000992,0.000992
NORAD68474->NORAD66741,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.264439,0.264163,0.571786,0.573947,0.777442,0.7801,0.0,0.0
NORAD68474->NORAD66741,24,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.840532,0.836765,2.193075,2.187263,2.871442,2.867133,0.0,0.0
NORAD68474->NORAD66741,48,stale_age_ridge,closed,closed,closed,closed,closed,closed,2.156162,2.145469,6.514385,6.502181,7.994223,7.988447,0.0,0.0
NORAD68474->NORAD66741,72,stale_age_ridge,closed,closed,closed,closed,closed,closed,4.861438,4.828295,13.38284,13.369959,16.99964,16.995923,0.0,0.0
NORAD68474->NORAD66741,96,stale_age_ridge,closed,closed,closed,closed,closed,closed,9.476704,9.446963,23.365696,23.361409,30.900229,30.893428,0.0,0.0
NORAD68474->NORAD66741,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,27.381167,27.321919,82.313944,82.079596,107.419712,107.197744,0.001792,0.001792
