cell,source_satellite,source_name,target_satellite,target_name,relation,staleness_h,status,reject_hz,gamma,f_tol_hz,n_train_pairs,n_validation_pairs,n_test_pairs,rejected_train_pairs,rejected_validation_pairs,rejected_test_pairs,reject_rate_source_pct,reject_rate_target_pct,selected_model,ridge_alpha,val_sgp4_mae_hz,val_learned_mae_hz,val_degradation_pct,gate_decision,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,deployed_test_mae_hz
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,8,evaluated,1500.0,0.95,500.0,166,92,60,0,0,0,0.0,0.0,stale_age_ridge,1000.0,0.264439,0.293754,11.086,closed,0.211521,0.238628,0.027107,12.8154,0.211521
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,24,evaluated,1500.0,0.95,500.0,196,114,82,5,0,0,1.259,1.259,linear_bias_rate,,0.840532,0.849226,1.0343,closed,0.8157,0.829295,0.013595,1.6667,0.8157
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,48,evaluated,1500.0,0.95,500.0,188,118,88,4,0,0,1.005,1.005,stale_age_ridge,1000.0,2.156162,2.167336,0.5182,closed,2.40817,2.425318,0.017148,0.7121,2.40817
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,72,evaluated,1500.0,0.95,500.0,181,124,87,9,0,0,2.244,2.244,linear_bias_rate,,4.861438,4.853331,-0.1668,closed,4.881554,4.879562,-0.001992,-0.0408,4.881554
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,96,evaluated,1500.0,0.95,500.0,179,123,89,12,0,0,2.978,2.978,linear_bias_rate,,9.476704,9.455004,-0.229,closed,8.604744,8.611699,0.006955,0.0808,8.604744
NORAD66741->NORAD66741,NORAD66741,BLACK KITE-1,NORAD66741,BLACK KITE-1,target_specific,168,evaluated,1500.0,0.95,500.0,171,124,93,17,0,0,4.198,4.198,stale_age_ridge,1000.0,27.381167,27.395535,0.0525,closed,29.743759,29.778344,0.034585,0.1163,29.743759
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,8,evaluated,1500.0,0.95,500.0,126,32,25,0,0,0,0.0,0.0,stale_age_ridge,0.01,0.219065,0.209263,-4.4744,closed,0.217342,0.216866,-0.000476,-0.2191,0.217342
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,24,evaluated,1500.0,0.95,500.0,145,45,39,0,0,0,0.0,0.0,ridge,0.01,0.62921,0.598054,-4.9516,closed,0.780488,0.829394,0.048906,6.2661,0.780488
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,48,evaluated,1500.0,0.95,500.0,138,45,38,0,0,0,0.0,0.0,ridge,0.01,1.136541,1.0851,-4.5261,closed,1.744989,1.80571,0.060721,3.4797,1.744989
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,72,evaluated,1500.0,0.95,500.0,141,44,38,0,0,0,0.0,0.0,stale_age_ridge,0.01,1.893882,1.842619,-2.7068,closed,2.558631,2.571839,0.013208,0.5162,2.558631
NORAD68474->NORAD68474,NORAD68474,BLACK KITE-2,NORAD68474,BLACK KITE-2,target_specific,96,evaluated,1500.0,0.95,500.0,150,44,41,0,0,0,0.0,0.0,stale_age_ridge,1.0,2.492103,2.474698,-0.6984,closed,3.414934,3.423862,0.008928,0.2614,3.414934
