satellite,satellite_name,staleness_h,threshold_hz,is_preregistered_threshold,status,candidate_pairs,accepted_pairs,rejected_pairs,reject_rate_pct,n_train_pairs,n_validation_pairs,n_test_pairs,selected_model,val_sgp4_mae_hz,val_learned_mae_hz,val_improvement_pct,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,test_improvement_pct,learned_wins,sgp4_wins,ties,pair_win_rate,mean_pair_delta_mae_hz,median_pair_delta_mae_hz,pair_ci_low_hz,pair_ci_high_hz,sign_test_p,holm_p,bh_q,block_bootstrap_days,block_ci_low_hz,block_ci_high_hz,block_ci_excludes_zero,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
NORAD25544,ISS (ZARYA),8,1500,True,evaluated,44649,44580,69,0.1545,27365,7918,9297,linear_bias_rate,2.051877,2.066893,-0.7318,closed,closed,closed,closed,closed,closed,2.973221,2.982841,0.00962,0.3236,-0.3236,3840,5447,10,0.413036,0.00962,0.017246,0.008545,0.010659,0.0,0.0,0.0,1956,0.008288,0.010997,True,7.716717,7.732845,13.816903,13.826686,0.000197,0.000197
NORAD25544,ISS (ZARYA),24,1500,True,evaluated,46659,45923,736,1.5774,27871,8455,9597,linear_bias_rate,6.192003,6.201386,-0.1515,closed,closed,closed,closed,closed,closed,9.660763,9.669056,0.008292,0.0858,-0.0858,4194,5393,10,0.437012,0.008292,0.01013,0.006639,0.00998,0.0,0.0,0.0,1997,0.006209,0.010371,True,25.510158,25.523242,45.058851,45.066868,0.001628,0.001628
NORAD25544,ISS (ZARYA),48,1500,True,evaluated,46707,44563,2144,4.5903,27008,8325,9230,linear_bias_rate,13.490621,13.515045,-0.181,closed,closed,closed,closed,closed,closed,21.564797,21.582301,0.017504,0.0812,-0.0812,4066,5161,3,0.44052,0.017504,0.024468,0.013814,0.021367,0.0,0.0,0.0,1993,0.01203,0.023018,True,56.080569,56.104035,93.140104,93.154613,0.004957,0.004957
NORAD25544,ISS (ZARYA),72,1500,True,evaluated,46667,42561,4106,8.7985,25711,8114,8736,linear_bias_rate,21.413249,21.457871,-0.2084,closed,closed,closed,closed,closed,closed,33.907314,33.94031,0.032996,0.0973,-0.0973,3825,4909,2,0.437843,0.032996,0.074028,0.02628,0.039609,0.0,0.0,0.0,1973,0.022599,0.043702,True,87.034574,87.049185,142.526842,142.531737,0.009372,0.009372
NORAD25544,ISS (ZARYA),96,1500,True,evaluated,46732,40361,6371,13.6331,24273,7886,8202,linear_bias_rate,27.660334,27.716455,-0.2029,closed,closed,closed,closed,closed,closed,45.49349,45.535392,0.041902,0.0921,-0.0921,3660,4542,0,0.446233,0.041902,0.099234,0.031458,0.051586,0.0,0.0,0.0,1934,0.026162,0.057677,True,115.948574,115.966428,186.146219,186.148821,0.012868,0.012888
NORAD25544,ISS (ZARYA),168,1500,True,evaluated,46745,33411,13334,28.525,19706,7099,6606,linear_bias_rate,54.778871,54.927142,-0.2707,closed,closed,closed,closed,closed,closed,87.888127,88.004178,0.116051,0.132,-0.132,2939,3667,0,0.444899,0.116051,0.252494,0.088817,0.143428,0.0,0.0,0.0,1792,0.070419,0.157793,True,225.657723,225.662827,330.833327,330.801499,0.030439,0.030389
NORAD56726,IRIDIUM 181,8,1500,True,evaluated,1902,1902,0,0.0,924,345,633,stale_age_ridge,0.1944,0.191736,1.3702,closed,closed,closed,closed,closed,closed,0.16726,0.164013,-0.003247,-1.9413,1.9413,388,245,0,0.612954,-0.003247,-0.00309,-0.00405,-0.002419,0.0,0.0,0.0,206,-0.00423,-0.002275,True,0.434215,0.427626,0.538113,0.531441,0.0,0.0
NORAD56726,IRIDIUM 181,24,1500,True,evaluated,2584,2584,0,0.0,1361,484,739,stale_age_ridge,0.717978,0.735542,-2.4463,closed,closed,closed,closed,closed,closed,0.636734,0.650638,0.013904,2.1836,-2.1836,266,473,0,0.359946,0.013904,0.02425,0.008812,0.019018,0.0,0.0,0.0,228,0.006503,0.020943,True,1.688701,1.719611,2.360709,2.389648,0.0,0.0
NORAD56726,IRIDIUM 181,48,1500,True,evaluated,2612,2609,3,0.1149,1369,496,744,stale_age_ridge,1.728434,1.722941,0.3178,closed,closed,closed,closed,closed,closed,1.60994,1.602938,-0.007002,-0.4349,0.4349,387,357,0,0.520161,-0.007002,-0.003181,-0.014833,0.000977,0.287688,1.0,0.39833723,231,-0.018669,0.004388,False,4.267689,4.229495,5.771749,5.737817,0.0,0.0
NORAD56726,IRIDIUM 181,72,1500,True,evaluated,2597,2591,6,0.231,1358,492,741,stale_age_ridge,3.048264,3.035625,0.4146,closed,closed,closed,closed,closed,closed,2.850686,2.822544,-0.028141,-0.9872,0.9872,397,344,0,0.535762,-0.028141,-0.017874,-0.042817,-0.013093,0.056025,1.0,0.08765743,230,-0.04857,-0.008005,True,7.53202,7.452877,10.174169,10.101325,0.0,0.0
NORAD56726,IRIDIUM 181,96,1500,True,evaluated,2652,2642,10,0.3771,1388,504,750,stale_age_ridge,4.976011,4.936545,0.7931,closed,closed,closed,closed,closed,closed,4.473968,4.400837,-0.073132,-1.6346,1.6346,464,286,0,0.618667,-0.073132,-0.065951,-0.090812,-0.054447,0.0,0.0,0.0,231,-0.099374,-0.04795,True,11.882834,11.632282,16.013093,15.776674,0.0,0.0
NORAD56726,IRIDIUM 181,168,1500,True,evaluated,2663,2638,25,0.9388,1379,507,752,stale_age_ridge,13.464615,13.380121,0.6275,closed,closed,closed,closed,closed,closed,9.861685,9.641463,-0.220222,-2.2331,2.2331,487,265,0,0.647606,-0.220222,-0.236855,-0.266361,-0.17734,0.0,0.0,0.0,231,-0.283529,-0.155507,True,26.120468,25.135424,35.6399,34.634522,5.5e-05,5.5e-05
NORAD56727,IRIDIUM 177,8,1500,True,evaluated,1875,1875,0,0.0,876,360,639,stale_age_ridge,0.488916,0.487703,0.2482,closed,closed,closed,closed,closed,closed,0.424367,0.42431,-5.7e-05,-0.0134,0.0134,309,330,0,0.483568,-5.7e-05,0.001386,-0.001964,0.001893,0.428857,1.0,0.5385646,217,-0.002322,0.002215,False,1.141466,1.14682,1.492079,1.497866,0.0,0.0
NORAD56727,IRIDIUM 177,24,1500,True,evaluated,2545,2544,1,0.0393,1342,479,723,linear_bias_rate,1.672129,1.687019,-0.8905,closed,closed,closed,closed,closed,closed,1.595776,1.607597,0.011821,0.7407,-0.7407,398,325,0,0.550484,0.011821,-0.002141,0.007561,0.016569,0.007371,0.228501,0.01658475,231,0.007123,0.016665,True,4.2911,4.307459,5.374812,5.386435,0.0,0.0
NORAD56727,IRIDIUM 177,48,1500,True,evaluated,2534,2532,2,0.0789,1333,477,722,stale_age_ridge,3.841573,3.86689,-0.659,closed,closed,closed,closed,closed,closed,5.115725,5.158609,0.042885,0.8383,-0.8383,328,394,0,0.454294,0.042885,0.085592,0.020722,0.064649,0.015503,0.434084,0.031006,229,0.009245,0.076014,True,13.795889,13.873768,17.954936,18.003651,0.000346,0.000346
NORAD56727,IRIDIUM 177,72,1500,True,evaluated,2552,2543,9,0.3527,1334,480,729,stale_age_ridge,7.474516,7.44397,0.4087,closed,closed,closed,closed,closed,closed,9.957213,9.967304,0.010092,0.1014,-0.1014,367,362,0,0.503429,0.010092,-0.009325,-0.022507,0.042512,0.882239,1.0,0.93413541,230,-0.042975,0.063475,False,26.866086,26.803631,34.55063,34.467206,0.000686,0.000686
NORAD56727,IRIDIUM 177,96,1500,True,evaluated,2601,2584,17,0.6536,1356,496,732,stale_age_ridge,13.459388,13.259332,1.4864,closed,closed,closed,closed,closed,closed,16.280238,16.19593,-0.084308,-0.5179,0.5179,430,302,0,0.587432,-0.084308,-0.185958,-0.138326,-0.030643,3e-06,0.000105,8.1e-06,232,-0.168563,0.003254,False,44.266187,44.023543,57.652131,57.368782,0.001195,0.001138
NORAD56727,IRIDIUM 177,168,1500,True,evaluated,2610,2547,63,2.4138,1318,499,730,stale_age_ridge,36.848037,36.099569,2.0312,closed,closed,closed,closed,closed,closed,41.025854,40.491733,-0.534121,-1.3019,1.3019,503,227,0,0.689041,-0.534121,-0.840243,-0.673283,-0.400569,0.0,0.0,0.0,232,-0.74872,-0.312988,True,111.924584,110.13423,144.473268,142.574164,0.006221,0.00605
NORAD61594,ONEWEB-0015,8,1500,True,evaluated,1334,1331,3,0.2249,627,373,331,stale_age_ridge,0.567037,0.899306,-58.5974,closed,closed,closed,closed,closed,closed,0.48848,0.884838,0.396358,81.1412,-81.1412,29,302,0,0.087613,0.396358,0.45677,0.369214,0.423688,0.0,0.0,0.0,116,0.364165,0.428111,True,1.292283,1.899154,1.748771,2.356292,0.0,0.0
NORAD61594,ONEWEB-0015,24,1500,True,evaluated,1651,1604,47,2.8468,791,416,397,linear_bias_rate,1.085519,2.411657,-122.1662,closed,closed,closed,closed,closed,closed,1.05284,2.340343,1.287504,122.2887,-122.2887,17,380,0,0.042821,1.287504,1.365076,1.235166,1.337826,0.0,0.0,0.0,123,1.215149,1.358933,True,2.830483,4.171103,3.722101,4.943964,0.0,0.0
NORAD61594,ONEWEB-0015,48,1500,True,evaluated,1664,1557,107,6.4303,736,421,400,stale_age_ridge,2.001805,2.278388,-13.8167,closed,closed,closed,closed,closed,closed,1.954736,2.276538,0.321801,16.4626,-16.4626,107,293,0,0.2675,0.321801,0.139412,0.262052,0.38223,0.0,0.0,0.0,126,0.249643,0.399845,True,5.199896,5.594484,6.733595,7.115235,0.0,0.0
NORAD61594,ONEWEB-0015,72,1500,True,evaluated,1656,1502,154,9.2995,686,418,398,linear_bias_rate,2.390732,2.414702,-1.0026,closed,closed,closed,closed,closed,closed,2.428871,2.455417,0.026547,1.093,-1.093,187,211,0,0.469849,0.026547,0.047487,0.014197,0.03898,0.248925,1.0,0.35373553,125,0.008051,0.044429,True,6.419573,6.469935,8.21082,8.257505,0.0,0.0
NORAD61594,ONEWEB-0015,96,1500,True,evaluated,1680,1492,188,11.1905,668,420,404,stale_age_ridge,2.66758,2.660429,0.2681,closed,closed,closed,closed,closed,closed,3.278579,3.26568,-0.0129,-0.3935,0.3935,227,177,0,0.561881,-0.0129,-0.022474,-0.03074,0.004666,0.014673,0.425517,0.03047469,127,-0.038064,0.01232,False,8.638903,8.667332,10.771026,10.796791,0.0,0.0
NORAD61594,ONEWEB-0015,168,1500,True,evaluated,1677,1393,284,16.935,568,421,404,linear_bias_rate,5.055802,5.074169,-0.3633,closed,closed,closed,closed,closed,closed,8.849184,8.860459,0.011275,0.1274,-0.1274,223,181,0,0.55198,0.011275,-0.013974,-4.2e-05,0.023524,0.041235,1.0,0.07352884,127,-0.004237,0.029153,False,23.124491,23.142078,29.542204,29.559752,0.000309,0.000309
NORAD66514,SENTINEL-6B,8,1500,True,evaluated,487,487,0,0.0,290,119,78,linear_bias_rate,0.04532,0.05023,-10.8335,closed,closed,closed,closed,closed,closed,0.041385,0.046475,0.00509,12.2978,-12.2978,25,53,0,0.320513,0.00509,0.004028,0.003244,0.006991,0.002031,0.067023,0.00498518,37,0.002857,0.007301,True,0.115903,0.118971,0.135261,0.136978,0.0,0.0
NORAD66514,SENTINEL-6B,24,1500,True,evaluated,689,689,0,0.0,402,161,126,linear_bias_rate,0.143587,0.152687,-6.3377,closed,closed,closed,closed,closed,closed,0.115674,0.125071,0.009397,8.124,-8.124,31,95,0,0.246032,0.009397,0.005301,0.006691,0.012437,0.0,0.0,0.0,46,0.00568,0.013281,True,0.33826,0.329373,0.393655,0.385205,0.0,0.0
