satellite,satellite_name,norad_id,element_id,epoch_utc,same_epoch_rows,distinct_physical_solutions,policy,resolution,chosen_gp_id,chosen_creation_date,chosen_file,competing_gp_ids
NORAD25544,ISS (ZARYA),25544,25544|1999-09-17T00:25:19.235+00:00,1999-09-17T00:25:19.235999+00:00,2,2,latest_published,same_epoch_revision,31459853,2004-08-17T15:26:00,35569,31459852;31459853
NORAD25544,ISS (ZARYA),25544,25544|2001-05-04T20:06:09.000+00:00,2001-05-04T20:06:09.000288+00:00,2,2,latest_published,same_epoch_revision,36627529,2004-08-17T15:28:36,35621,106221;36627529
NORAD25544,ISS (ZARYA),25544,25544|2002-02-15T21:58:47.585+00:00,2002-02-15T21:58:47.585855+00:00,2,2,latest_published,same_epoch_revision,37264532,2004-08-17T15:29:57,35648,2150570;37264532
NORAD25544,ISS (ZARYA),25544,25544|2002-03-12T18:09:51.622+00:00,2002-03-12T18:09:51.622272+00:00,2,2,latest_published,same_epoch_revision,37320637,2004-08-17T15:30:03,35650,2321651;37320637
NORAD25544,ISS (ZARYA),25544,25544|2002-11-11T19:08:50.000+00:00,2002-11-11T19:08:50.000351+00:00,2,2,latest_published,same_epoch_revision,37828820,2004-08-17T15:31:06,35671,37828820;4038583
NORAD25544,ISS (ZARYA),25544,25544|2003-01-17T20:24:27.000+00:00,2003-01-17T20:24:27+00:00,2,2,latest_published,same_epoch_revision,37965641,2004-08-17T15:31:27,35678,37965641;4518723
NORAD25544,ISS (ZARYA),25544,25544|2004-06-02T10:05:59.999+00:00,2004-06-02T10:05:59.999711+00:00,2,2,latest_published,same_epoch_revision,38957382,2004-08-17T16:17:48,36605,38957382;7924050
NORAD25544,ISS (ZARYA),25544,25544|2004-06-22T22:59:19.999+00:00,2004-06-22T22:59:19.999967+00:00,2,2,latest_published,same_epoch_revision,8004935,2004-06-22T17:45:13,15447,8004933;8004935
NORAD25544,ISS (ZARYA),25544,25544|2004-06-27T22:16:49.999+00:00,2004-06-27T22:16:49.999871+00:00,2,2,latest_published,same_epoch_revision,8209884,2004-06-28T11:11:15,17446,8185059;8209884
NORAD25544,ISS (ZARYA),25544,25544|2004-06-30T20:30:59.999+00:00,2004-06-30T20:30:59.999904+00:00,2,2,latest_published,same_epoch_revision,8231929,2004-06-30T16:49:47,18287,8230919;8231929
NORAD25544,ISS (ZARYA),25544,25544|2004-07-05T18:14:09.999+00:00,2004-07-05T18:14:09.999743+00:00,2,2,latest_published,same_epoch_revision,8280354,2004-07-05T13:48:37,19943,8280349;8280354
NORAD25544,ISS (ZARYA),25544,25544|2004-07-07T17:34:20.000+00:00,2004-07-07T17:34:20.000352+00:00,2,2,latest_published,same_epoch_revision,8297467,2004-07-07T14:20:14,20298,8297454;8297467
NORAD25544,ISS (ZARYA),25544,25544|2004-07-15T17:27:09.000+00:00,2004-07-15T17:27:09+00:00,2,2,latest_published,same_epoch_revision,8377234,2004-07-15T13:52:38,23279,8377232;8377234
NORAD25544,ISS (ZARYA),25544,25544|2004-07-27T09:39:19.999+00:00,2004-07-27T09:39:19.999584+00:00,2,2,latest_published,same_epoch_revision,8489161,2004-07-27T05:50:24,27279,8489155;8489161
NORAD25544,ISS (ZARYA),25544,25544|2004-08-03T18:41:49.318+00:00,2004-08-03T18:41:49.318656+00:00,2,2,latest_published,same_epoch_revision,8566720,2004-08-03T16:26:44,29933,8566714;8566720
NORAD25544,ISS (ZARYA),25544,25544|2004-08-05T05:56:45.000+00:00,2004-08-05T05:56:45.000384+00:00,2,2,latest_published,same_epoch_revision,8579082,2004-08-05T02:19:02,30404,8579055;8579082
NORAD25544,ISS (ZARYA),25544,25544|2004-08-06T18:21:21.425+00:00,2004-08-06T18:21:21.425184+00:00,2,2,latest_published,same_epoch_revision,8638598,2004-08-12T16:29:44,30968,8638575;8638598
NORAD25544,ISS (ZARYA),25544,25544|2004-08-08T22:31:26.723+00:00,2004-08-08T22:31:26.723999+00:00,2,2,latest_published,same_epoch_revision,8645659,2004-08-12T17:10:19,31882,8611243;8645659
NORAD25544,ISS (ZARYA),25544,25544|2004-08-09T04:38:00.000+00:00,2004-08-09T04:38:00.000384+00:00,2,2,latest_published,same_epoch_revision,8646658,2004-08-12T17:52:42,31967,8646632;8646658
NORAD25544,ISS (ZARYA),25544,25544|2004-08-18T05:03:46.876+00:00,2004-08-18T05:03:46.876608+00:00,2,2,latest_published,same_epoch_revision,25584469,2004-08-18T00:40:55,35287,25575428;25584469
NORAD25544,ISS (ZARYA),25544,25544|2004-08-19T22:36:49.999+00:00,2004-08-19T22:36:49.999967+00:00,2,2,latest_published,same_epoch_revision,38163809,2004-08-20T10:10:49,36491,38077302;38163809
NORAD25544,ISS (ZARYA),25544,25544|2004-08-24T21:47:29.999+00:00,2004-08-24T21:47:29.999903+00:00,2,2,latest_published,same_epoch_revision,39007200,2004-08-24T17:36:21,37937,39007196;39007200
NORAD25544,ISS (ZARYA),25544,25544|2004-08-29T02:19:16.011+00:00,2004-08-29T02:19:16.011839+00:00,2,2,latest_published,same_epoch_revision,39042308,2004-08-28T21:45:04,39267,39042307;39042308
NORAD25544,ISS (ZARYA),25544,25544|2004-08-30T18:18:39.999+00:00,2004-08-30T18:18:39.999744+00:00,2,2,latest_published,same_epoch_revision,39066635,2004-08-30T13:49:55,39787,39066633;39066635
NORAD25544,ISS (ZARYA),25544,25544|2004-09-05T10:22:58.653+00:00,2004-09-05T10:22:58.653119+00:00,2,2,latest_published,same_epoch_revision,39112641,2004-09-05T13:21:04,41681,39112624;39112641
NORAD25544,ISS (ZARYA),25544,25544|2004-09-05T22:17:46.141+00:00,2004-09-05T22:17:46.141728+00:00,2,2,latest_published,same_epoch_revision,39132929,2004-09-06T13:53:34,41854,39131752;39132929
NORAD25544,ISS (ZARYA),25544,25544|2004-09-09T10:41:13.540+00:00,2004-09-09T10:41:13.540703+00:00,2,2,latest_published,same_epoch_revision,39162480,2004-09-09T04:55:43,43246,39162479;39162480
NORAD25544,ISS (ZARYA),25544,25544|2004-09-09T20:59:04.183+00:00,2004-09-09T20:59:04.183871+00:00,2,2,latest_published,same_epoch_revision,39170348,2004-09-09T17:05:09,43440,39169656;39170348
NORAD25544,ISS (ZARYA),25544,25544|2004-09-16T14:40:43.000+00:00,2004-09-16T14:40:43.000319+00:00,2,2,latest_published,same_epoch_revision,39238751,2004-09-16T10:38:29,45792,39238368;39238751
NORAD25544,ISS (ZARYA),25544,25544|2004-09-27T18:39:44.353+00:00,2004-09-27T18:39:44.353151+00:00,2,2,latest_published,same_epoch_revision,39340640,2004-09-27T14:00:46,49140,39340620;39340640
NORAD25544,ISS (ZARYA),25544,25544|2004-10-01T22:24:38.999+00:00,2004-10-01T22:24:38.999808+00:00,2,2,latest_published,same_epoch_revision,39394163,2004-10-04T05:10:40,51554,39377970;39394163
NORAD25544,ISS (ZARYA),25544,25544|2004-10-12T05:10:12.000+00:00,2004-10-12T05:10:12.000288+00:00,2,2,latest_published,same_epoch_revision,39482478,2004-10-12T02:03:59,54475,39482433;39482478
NORAD25544,ISS (ZARYA),25544,25544|2004-10-13T21:32:04.984+00:00,2004-10-13T21:32:04.984224+00:00,2,2,latest_published,same_epoch_revision,39501867,2004-10-13T18:10:49,55126,39500567;39501867
NORAD25544,ISS (ZARYA),25544,25544|2004-10-23T21:35:00.000+00:00,2004-10-23T21:35:00.000384+00:00,2,2,latest_published,same_epoch_revision,39598874,2004-10-23T17:05:18,58673,39598831;39598874
NORAD25544,ISS (ZARYA),25544,25544|2004-11-04T11:36:52.091+00:00,2004-11-04T11:36:52.091135+00:00,3,2,latest_published,same_epoch_revision,39717512,2004-11-04T08:10:07,62539,39717351;39717355;39717512
NORAD25544,ISS (ZARYA),25544,25544|2004-11-10T12:37:20.000+00:00,2004-11-10T12:37:20.000352+00:00,2,2,latest_published,same_epoch_revision,39785514,2004-11-10T10:10:06,64635,39785510;39785514
NORAD25544,ISS (ZARYA),25544,25544|2004-11-23T09:09:19.999+00:00,2004-11-23T09:09:19.999871+00:00,3,2,latest_published,same_epoch_revision,39915173,2004-11-23T08:13:07,68858,39907361;39907369;39915173
NORAD25544,ISS (ZARYA),25544,25544|2004-12-02T11:11:58.414+00:00,2004-12-02T11:11:58.414847+00:00,3,2,latest_published,same_epoch_revision,39998685,2004-12-02T08:00:36,72161,39998399;39998491;39998685
NORAD25544,ISS (ZARYA),25544,25544|2004-12-15T23:04:49.999+00:00,2004-12-15T23:04:49.999583+00:00,2,2,latest_published,same_epoch_revision,40141093,2004-12-15T17:27:16,77274,40141088;40141093
NORAD25544,ISS (ZARYA),25544,25544|2004-12-16T21:47:09.136+00:00,2004-12-16T21:47:09.136032+00:00,2,2,latest_published,same_epoch_revision,40151759,2004-12-16T17:25:01,77682,40151750;40151759
NORAD25544,ISS (ZARYA),25544,25544|2004-12-20T20:25:00.103+00:00,2004-12-20T20:25:00.103296+00:00,2,2,latest_published,same_epoch_revision,40193597,2004-12-20T17:36:06,79228,40193158;40193597
NORAD25544,ISS (ZARYA),25544,25544|2004-12-21T20:51:23.104+00:00,2004-12-21T20:51:23.104224+00:00,2,2,latest_published,same_epoch_revision,40204244,2004-12-21T17:44:10,79602,40202591;40204244
NORAD25544,ISS (ZARYA),25544,25544|2004-12-24T19:02:09.170+00:00,2004-12-24T19:02:09.170015+00:00,2,2,latest_published,same_epoch_revision,40235310,2004-12-24T16:10:44,80788,40233859;40235310
NORAD25544,ISS (ZARYA),25544,25544|2004-12-28T08:29:40.231+00:00,2004-12-28T08:29:40.231967+00:00,2,2,latest_published,same_epoch_revision,40268201,2004-12-28T02:20:35,81947,40268200;40268201
NORAD25544,ISS (ZARYA),25544,25544|2005-01-17T10:45:35.000+00:00,2005-01-17T10:45:35.000063+00:00,3,2,latest_published,same_epoch_revision,40478455,2005-01-17T11:16:07,89399,40470738;40478427;40478455
NORAD25544,ISS (ZARYA),25544,25544|2005-01-23T11:12:49.999+00:00,2005-01-23T11:12:49.999968+00:00,3,2,latest_published,same_epoch_revision,40535582,2005-01-23T08:23:44,91727,40533489;40533493;40535582
NORAD25544,ISS (ZARYA),25544,25544|2005-01-31T08:38:02.999+00:00,2005-01-31T08:38:02.999616+00:00,2,2,latest_published,same_epoch_revision,40616705,2005-01-31T03:19:13,94913,40616696;40616705
NORAD25544,ISS (ZARYA),25544,25544|2005-02-02T11:21:52.984+00:00,2005-02-02T11:21:52.984224+00:00,3,2,latest_published,same_epoch_revision,40644741,2005-02-02T08:41:24,95800,40637271;40637278;40644741
NORAD25544,ISS (ZARYA),25544,25544|2005-02-08T10:58:28.775+00:00,2005-02-08T10:58:28.775999+00:00,4,2,latest_published,same_epoch_revision,40706639,2005-02-08T08:07:32,98226,40699495;40699519;40700788;40706639
NORAD25544,ISS (ZARYA),25544,25544|2005-02-08T21:50:14.146+00:00,2005-02-08T21:50:14.146080+00:00,2,2,latest_published,same_epoch_revision,40708553,2005-02-08T17:36:13,98414,40708496;40708553
NORAD25544,ISS (ZARYA),25544,25544|2005-03-22T01:53:03.556+00:00,2005-03-22T01:53:03.556895+00:00,2,2,latest_published,same_epoch_revision,41128140,2005-03-21T20:20:59,115135,41128137;41128140
NORAD25544,ISS (ZARYA),25544,25544|2005-04-15T19:50:04.218+00:00,2005-04-15T19:50:04.218143+00:00,2,2,latest_published,same_epoch_revision,41386882,2005-04-15T18:04:43,125519,41385292;41386882
NORAD25544,ISS (ZARYA),25544,25544|2005-04-19T18:28:39.097+00:00,2005-04-19T18:28:39.097343+00:00,2,2,latest_published,same_epoch_revision,41429019,2005-04-19T17:48:17,127130,41427440;41429019
NORAD25544,ISS (ZARYA),25544,25544|2005-04-28T17:44:39.999+00:00,2005-04-28T17:44:39.999840+00:00,2,2,latest_published,same_epoch_revision,42037148,2005-04-28T14:01:15,130844,42037101;42037148
NORAD25544,ISS (ZARYA),25544,25544|2005-04-30T19:24:50.000+00:00,2005-04-30T19:24:50.000255+00:00,2,2,latest_published,same_epoch_revision,48092478,2005-04-30T15:25:41,131588,48092418;48092478
NORAD25544,ISS (ZARYA),25544,25544|2005-05-09T13:08:19.999+00:00,2005-05-09T13:08:19.999680+00:00,2,2,latest_published,same_epoch_revision,48187894,2005-05-09T10:23:32,134769,48187858;48187894
NORAD25544,ISS (ZARYA),25544,25544|2005-05-10T15:58:02.000+00:00,2005-05-10T15:58:02.000352+00:00,2,2,latest_published,same_epoch_revision,48198415,2005-05-10T10:53:43,135093,48198401;48198415
NORAD25544,ISS (ZARYA),25544,25544|2005-05-11T10:40:39.136+00:00,2005-05-11T10:40:39.136224+00:00,2,2,latest_published,same_epoch_revision,48201402,2005-05-11T05:51:28,135300,48201399;48201402
NORAD25544,ISS (ZARYA),25544,25544|2005-05-24T19:12:20.203+00:00,2005-05-24T19:12:20.203776+00:00,2,2,latest_published,same_epoch_revision,48354188,2005-05-25T07:10:49,140332,48346525;48354188
NORAD25544,ISS (ZARYA),25544,25544|2005-06-02T23:02:35.672+00:00,2005-06-02T23:02:35.672640+00:00,2,2,latest_published,same_epoch_revision,48444664,2005-06-02T22:18:25,143583,48444657;48444664
