cell,staleness_h,selected_model,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,val_sgp4_mae_hz,val_learned_mae_hz,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
NORAD66741->NORAD66741,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.264366,0.293693,0.571953,0.616986,0.777399,0.819188,0.0,0.0
NORAD66741->NORAD66741,24,linear_bias_rate,closed,closed,closed,closed,closed,closed,0.840533,0.849239,2.193746,2.243437,2.872202,2.916689,0.0,0.0
NORAD66741->NORAD66741,48,stale_age_ridge,closed,closed,closed,closed,closed,closed,2.155839,2.167022,6.514275,6.51894,7.99414,7.997032,0.0,0.0
NORAD66741->NORAD66741,72,linear_bias_rate,closed,closed,closed,closed,closed,closed,4.861214,4.853108,13.383322,13.396889,17.000146,17.013748,0.0,0.0
NORAD66741->NORAD66741,96,linear_bias_rate,closed,closed,closed,closed,closed,closed,9.476485,9.454783,23.365838,23.379679,30.900399,30.911805,0.0,0.0
NORAD66741->NORAD66741,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,27.38186,27.396229,82.314299,82.31437,107.420052,107.423187,0.001792,0.001792
NORAD68474->NORAD68474,8,stale_age_ridge,closed,closed,open,closed,closed,closed,0.218869,0.209133,0.642302,0.642472,0.789865,0.789375,0.0,0.0
NORAD68474->NORAD68474,24,ridge,closed,closed,open,closed,closed,closed,0.629296,0.598285,2.239747,2.395824,2.900696,3.076453,0.0,0.0
NORAD68474->NORAD68474,48,ridge,closed,closed,open,closed,closed,closed,1.136608,1.08526,5.272336,5.474554,6.6654,6.889845,0.0,0.0
NORAD68474->NORAD68474,72,stale_age_ridge,closed,closed,closed,closed,closed,closed,1.894186,1.842973,7.831197,7.885371,9.298343,9.357885,0.0,0.0
NORAD68474->NORAD68474,96,stale_age_ridge,closed,closed,closed,closed,closed,closed,2.492694,2.475295,10.310188,10.347798,12.59909,12.652782,0.0,0.0
NORAD68474->NORAD68474,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,5.587868,5.578371,53.332673,53.336664,72.435603,72.434539,0.000992,0.000992
NORAD66741->NORAD68474,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.218869,0.227149,0.642302,0.63725,0.789865,0.770871,0.0,0.0
NORAD66741->NORAD68474,24,linear_bias_rate,closed,closed,closed,closed,closed,closed,0.629296,0.626098,2.239747,2.201183,2.900696,2.848898,0.0,0.0
NORAD66741->NORAD68474,48,stale_age_ridge,closed,closed,closed,closed,closed,closed,1.136608,1.172261,5.272336,5.304417,6.6654,6.691231,0.0,0.0
NORAD66741->NORAD68474,72,linear_bias_rate,closed,closed,closed,closed,closed,closed,1.894186,1.879353,7.831197,7.821581,9.298343,9.290834,0.0,0.0
NORAD66741->NORAD68474,96,linear_bias_rate,closed,closed,closed,closed,closed,closed,2.492694,2.527245,10.310188,10.284791,12.59909,12.562882,0.0,0.0
NORAD66741->NORAD68474,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,5.587868,5.605286,53.332673,53.300597,72.435603,72.404113,0.000992,0.000992
NORAD68474->NORAD66741,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.264366,0.264081,0.571953,0.574115,0.777399,0.780057,0.0,0.0
NORAD68474->NORAD66741,24,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.840533,0.836769,2.193746,2.187934,2.872202,2.867893,0.0,0.0
NORAD68474->NORAD66741,48,stale_age_ridge,closed,closed,closed,closed,closed,closed,2.155839,2.14513,6.514275,6.502071,7.99414,7.988364,0.0,0.0
NORAD68474->NORAD66741,72,stale_age_ridge,closed,closed,closed,closed,closed,closed,4.861214,4.828071,13.383322,13.370441,17.000146,16.996429,0.0,0.0
NORAD68474->NORAD66741,96,stale_age_ridge,closed,closed,closed,closed,closed,closed,9.476485,9.446741,23.365838,23.361552,30.900399,30.893597,0.0,0.0
NORAD68474->NORAD66741,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,27.38186,27.322612,82.314299,82.079938,107.420052,107.198093,0.001792,0.001792
