target_name,staleness_h,selected_model,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,val_sgp4_mae_hz,val_learned_mae_hz,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
ISS (ZARYA),8,linear_bias_rate,closed,closed,closed,closed,closed,closed,2.033868,2.049001,7.709307,7.725447,13.846566,13.856367,0.000197,0.000197
ISS (ZARYA),24,linear_bias_rate,closed,closed,closed,closed,closed,closed,6.224329,6.233598,25.395951,25.408912,45.038037,45.045863,0.001611,0.001611
ISS (ZARYA),48,linear_bias_rate,closed,closed,closed,closed,closed,closed,13.52868,13.554557,55.945878,55.970875,92.776832,92.792575,0.004896,0.004896
ISS (ZARYA),72,linear_bias_rate,closed,closed,closed,closed,closed,closed,21.371541,21.416184,87.268583,87.283742,142.963729,142.969524,0.009424,0.009429
ISS (ZARYA),96,linear_bias_rate,closed,closed,closed,closed,closed,closed,27.638435,27.696921,115.742384,115.762544,186.110788,186.115293,0.012802,0.012822
ISS (ZARYA),168,linear_bias_rate,closed,closed,closed,closed,closed,closed,54.650589,54.801684,225.555194,225.561348,331.018963,330.987456,0.030388,0.03035
IRIDIUM 181,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.194536,0.191874,0.434291,0.427804,0.538744,0.532149,0.0,0.0
IRIDIUM 181,24,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.718019,0.735589,1.688697,1.719606,2.360598,2.389648,0.0,0.0
IRIDIUM 181,48,stale_age_ridge,closed,closed,closed,closed,closed,closed,1.728454,1.722946,4.267894,4.229699,5.771777,5.737592,0.0,0.0
IRIDIUM 181,72,stale_age_ridge,closed,closed,closed,closed,closed,closed,3.048264,3.035582,7.531783,7.452793,10.173922,10.101205,0.0,0.0
IRIDIUM 181,96,stale_age_ridge,closed,closed,closed,closed,closed,closed,4.97603,4.936554,11.882672,11.632432,16.013465,15.777004,0.0,0.0
IRIDIUM 181,168,stale_age_ridge,closed,closed,closed,closed,closed,closed,13.464661,13.380122,26.120521,25.135615,35.639949,34.634589,5.5e-05,5.5e-05
IRIDIUM 177,8,stale_age_ridge,closed,closed,closed,closed,closed,closed,0.488971,0.487756,1.141726,1.147159,1.492778,1.498537,0.0,0.0
IRIDIUM 177,24,linear_bias_rate,closed,closed,closed,closed,closed,closed,1.672105,1.686998,4.291282,4.307635,5.374954,5.386646,0.0,0.0
