target_name,staleness_h,n_unique_test_pair_ids,learned_wins,sgp4_wins,ties,learned_pair_win_rate,median_pair_delta_mae_hz,mean_pair_delta_mae_hz,boot_ci_low_hz,boot_ci_high_hz,sign_test_p
ISS (ZARYA),8,9297,3832,5456,9,0.412176,0.01731,0.009598,0.008528,0.010652,0.0
ISS (ZARYA),24,9597,4200,5387,10,0.437637,0.009893,0.008071,0.006476,0.009685,0.0
ISS (ZARYA),48,9226,4062,5160,4,0.440277,0.025222,0.018149,0.014354,0.02192,0.0
ISS (ZARYA),72,8741,3833,4906,2,0.438508,0.073702,0.032358,0.025926,0.038921,0.0
ISS (ZARYA),96,8205,3668,4537,0,0.447044,0.099862,0.042168,0.032263,0.052161,0.0
ISS (ZARYA),168,6609,2940,3669,0,0.444848,0.253243,0.116023,0.088026,0.143101,0.0
IRIDIUM 181,8,633,391,242,0,0.617694,-0.003127,-0.003255,-0.004068,-0.002426,0.0
IRIDIUM 181,24,739,266,473,0,0.359946,0.024412,0.013916,0.008793,0.019029,0.0
IRIDIUM 181,48,744,387,357,0,0.520161,-0.003181,-0.007055,-0.014926,0.000937,0.287688
IRIDIUM 181,72,741,397,344,0,0.535762,-0.017874,-0.028115,-0.042803,-0.013035,0.056025
IRIDIUM 181,96,750,464,286,0,0.618667,-0.065951,-0.073124,-0.090799,-0.054456,0.0
IRIDIUM 181,168,752,487,265,0,0.647606,-0.236855,-0.220214,-0.266358,-0.177333,0.0
IRIDIUM 177,8,639,312,327,0,0.488263,0.001386,-5.3e-05,-0.001942,0.001894,0.579729
IRIDIUM 177,24,723,397,326,0,0.549101,-0.001957,0.011829,0.007565,0.016574,0.009186
IRIDIUM 177,48,722,327,395,0,0.452909,0.085592,0.042953,0.02076,0.064692,0.012596
IRIDIUM 177,72,729,367,362,0,0.503429,-0.009325,0.010132,-0.022475,0.042587,0.882239
IRIDIUM 177,96,732,430,302,0,0.587432,-0.185958,-0.084332,-0.138288,-0.030665,3e-06
IRIDIUM 177,168,730,503,227,0,0.689041,-0.840237,-0.534147,-0.673329,-0.400592,0.0
ONEWEB-0015,8,331,29,302,0,0.087613,0.456778,0.39649,0.369426,0.423713,0.0
ONEWEB-0015,24,397,17,380,0,0.042821,1.365075,1.287447,1.235136,1.337761,0.0
ONEWEB-0015,48,400,107,293,0,0.2675,0.139413,0.321801,0.262067,0.38225,0.0
ONEWEB-0015,72,398,187,211,0,0.469849,0.048145,0.026558,0.014211,0.038971,0.248925
ONEWEB-0015,96,404,227,177,0,0.561881,-0.022475,-0.012918,-0.030745,0.004631,0.014673
ONEWEB-0015,168,404,223,181,0,0.55198,-0.013971,0.011276,-4.3e-05,0.023524,0.041235
SENTINEL-6B,8,78,23,55,0,0.294872,0.005063,0.005276,0.003443,0.007177,0.000378
SENTINEL-6B,24,126,31,95,0,0.246032,0.005299,0.009411,0.006713,0.01245,0.0
SENTINEL-6B,48,129,28,101,0,0.217054,0.016087,0.026102,0.019968,0.032442,0.0
SENTINEL-6B,72,127,18,109,0,0.141732,0.037933,0.047221,0.039439,0.055545,0.0
SENTINEL-6B,96,131,6,125,0,0.045802,0.04999,0.134134,0.100867,0.173693,0.0
SENTINEL-6B,168,134,25,109,0,0.186567,0.128278,0.165317,0.129832,0.200768,0.0
FLOCK 4H 1,8,72,21,51,0,0.291667,0.029345,0.034377,0.024503,0.043975,0.000535
FLOCK 4H 1,24,99,54,45,0,0.545455,-0.005329,-0.009247,-0.029827,0.010921,0.421523
FLOCK 4H 1,48,105,50,55,0,0.47619,0.003445,0.019047,-0.005487,0.044793,0.696468
FLOCK 4H 1,72,103,55,48,0,0.533981,-0.012836,0.027446,-0.018698,0.075369,0.554601
FLOCK 4H 1,96,107,53,54,0,0.495327,0.03085,0.05518,-0.004591,0.113674,1.0
FLOCK 4H 1,168,108,55,53,0,0.509259,-0.13845,-0.075612,-0.17259,0.01766,0.923401
FLOCK 4H 2,8,71,27,44,0,0.380282,0.0049,0.006547,0.002608,0.01064,0.056815
FLOCK 4H 2,24,103,40,63,0,0.38835,0.011523,0.012816,0.006444,0.019654,0.029682
FLOCK 4H 2,48,104,61,43,0,0.586538,-0.039931,-0.016616,-0.027864,-0.004124,0.095044
FLOCK 4H 2,72,103,55,48,0,0.533981,-0.07292,-0.028784,-0.079355,0.0197,0.554601
FLOCK 4H 2,96,103,63,40,0,0.61165,-0.023312,0.011642,-0.022471,0.050049,0.029682
FLOCK 4H 2,168,107,64,43,0,0.598131,-0.103558,-0.087651,-0.164716,-0.010446,0.052668
