target_satellite,target_name,staleness_h,status,canonical_records,median_gap_h,epoch_start,epoch_end,reject_hz,gamma,f_tol_hz,n_train_pairs,n_validation_pairs,n_test_pairs,rejected_train_pairs,rejected_validation_pairs,rejected_test_pairs,reject_rate_target_pct,selected_model,ridge_alpha,val_sgp4_mae_hz,val_learned_mae_hz,val_degradation_pct,gate_decision,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,deployed_test_mae_hz
NORAD25544,ISS (ZARYA),8,evaluated,46859,4.518,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,1500.0,0.95,500.0,27365,7918,9297,55,0,14,0.155,linear_bias_rate,,2.033868,2.049001,0.7441,closed,2.97944,2.989038,0.009598,0.3222,2.97944
NORAD25544,ISS (ZARYA),24,evaluated,46859,4.518,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,1500.0,0.95,500.0,27871,8455,9597,531,52,153,1.577,linear_bias_rate,,6.224329,6.233598,0.1489,closed,9.63197,9.640041,0.008071,0.0838,9.63197
NORAD25544,ISS (ZARYA),48,evaluated,46859,4.518,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,1500.0,0.95,500.0,27006,8324,9226,1412,209,530,4.605,linear_bias_rate,,13.52868,13.554557,0.1913,closed,21.483488,21.501637,0.018149,0.0845,21.483488
NORAD25544,ISS (ZARYA),72,evaluated,46859,4.518,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,1500.0,0.95,500.0,25709,8113,8741,2681,418,1005,8.794,linear_bias_rate,,21.371541,21.416184,0.2089,closed,33.99427,34.026628,0.032358,0.0952,33.99427
NORAD25544,ISS (ZARYA),96,evaluated,46859,4.518,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,1500.0,0.95,500.0,24271,7885,8205,4137,669,1565,13.633,linear_bias_rate,,27.638435,27.696921,0.2116,closed,45.422246,45.464414,0.042168,0.0928,45.422246
NORAD25544,ISS (ZARYA),168,evaluated,46859,4.518,1998-11-20T06:49:59.999807+00:00,2026-07-26T09:51:36.701280+00:00,1500.0,0.95,500.0,19702,7100,6609,8703,1459,3172,28.525,linear_bias_rate,,54.650589,54.801684,0.2765,closed,87.84628,87.962303,0.116023,0.1321,87.84628
NORAD56726,IRIDIUM 181,8,evaluated,2678,9.982,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1500.0,0.95,500.0,924,345,633,0,0,0,0.0,stale_age_ridge,1000.0,0.194536,0.191874,-1.3686,closed,0.1674,0.164145,-0.003255,-1.9445,0.1674
NORAD56726,IRIDIUM 181,24,evaluated,2678,9.982,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1500.0,0.95,500.0,1361,484,739,0,0,0,0.0,stale_age_ridge,1000.0,0.718019,0.735589,2.447,closed,0.636758,0.650673,0.013916,2.1854,0.636758
NORAD56726,IRIDIUM 181,48,evaluated,2678,9.982,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1500.0,0.95,500.0,1369,496,744,3,0,0,0.115,stale_age_ridge,1000.0,1.728454,1.722946,-0.3187,closed,1.60997,1.602915,-0.007055,-0.4382,1.60997
NORAD56726,IRIDIUM 181,72,evaluated,2678,9.982,2023-05-22T16:28:54.903648+00:00,2026-07-26T14:58:51.988512+00:00,1500.0,0.95,500.0,1358,492,741,6,0,0,0.231,stale_age_ridge,1000.0,3.048264,3.035582,-0.416,closed,2.850624,2.822508,-0.028115,-0.9863,2.850624
