satellite,satellite_name,staleness_h,threshold_hz,is_preregistered_threshold,status,candidate_pairs,accepted_pairs,rejected_pairs,reject_rate_pct,n_train_pairs,n_validation_pairs,n_test_pairs,selected_model,val_sgp4_mae_hz,val_learned_mae_hz,val_improvement_pct,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,test_improvement_pct,learned_wins,sgp4_wins,ties,pair_win_rate,mean_pair_delta_mae_hz,median_pair_delta_mae_hz,pair_ci_low_hz,pair_ci_high_hz,sign_test_p,holm_p,bh_q,block_bootstrap_days,block_ci_low_hz,block_ci_high_hz,block_ci_excludes_zero,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
NORAD25544,ISS (ZARYA),8,none,False,evaluated,44649,44649,0,0.0,27420,7918,9311,linear_bias_rate,2.033868,2.050257,-0.8058,closed,closed,closed,closed,closed,closed,3.769557,3.780786,0.011229,0.2979,-0.2979,3788,5518,5,0.406831,0.011229,0.017056,0.010147,0.012332,0.0,0.0,0.0,1956,0.009846,0.012654,True,9.919745,9.936568,18.547251,18.55735,0.00055,0.00055
NORAD25544,ISS (ZARYA),8,150,False,evaluated,44649,43733,916,2.0516,26778,7816,9139,linear_bias_rate,1.291952,1.294391,-0.1888,closed,closed,closed,closed,closed,closed,1.849191,1.850141,0.00095,0.0514,-0.0514,4372,4753,14,0.478389,0.00095,0.000837,0.000603,0.001343,6.9e-05,0.011661,0.00018265,1954,0.000529,0.001372,True,4.780271,4.783346,8.623726,8.625675,0.0,0.0
NORAD25544,ISS (ZARYA),8,500,False,evaluated,44649,44396,253,0.5666,27233,7895,9268,linear_bias_rate,1.711949,1.721038,-0.5309,closed,closed,closed,closed,closed,closed,2.548747,2.554342,0.005595,0.2195,-0.2195,3950,5309,9,0.426198,0.005595,0.011782,0.004781,0.006386,0.0,0.0,0.0,1955,0.00462,0.006576,True,6.544002,6.553914,11.680136,11.685827,0.0,0.0
NORAD25544,ISS (ZARYA),8,1500,True,evaluated,44649,44580,69,0.1545,27365,7918,9297,linear_bias_rate,2.033868,2.049001,-0.7441,closed,closed,closed,closed,closed,closed,2.97944,2.989038,0.009598,0.3222,-0.3222,3832,5456,9,0.412176,0.009598,0.01731,0.008528,0.010652,0.0,0.0,0.0,1956,0.008266,0.010972,True,7.709307,7.725447,13.846566,13.856367,0.000197,0.000197
NORAD25544,ISS (ZARYA),8,3000,False,evaluated,44649,44612,37,0.0829,27388,7918,9306,linear_bias_rate,2.033868,2.049093,-0.7486,closed,closed,closed,closed,closed,closed,3.212877,3.222447,0.00957,0.2979,-0.2979,3877,5419,10,0.416613,0.00957,0.015513,0.008468,0.010639,0.0,0.0,0.0,1956,0.008255,0.010949,True,8.182133,8.1984,15.565192,15.575169,0.00026,0.00026
NORAD25544,ISS (ZARYA),24,none,False,evaluated,46659,46656,3,0.0064,28399,8507,9750,linear_bias_rate,8.486235,8.569363,-0.9796,closed,closed,closed,closed,closed,closed,18.620185,18.697835,0.077651,0.417,-0.417,3816,5929,5,0.391385,0.077651,0.039024,0.07129,0.08374,0.0,0.0,0.0,2002,0.070382,0.084838,True,49.825046,49.922008,99.024009,99.089082,0.005697,0.005701
NORAD25544,ISS (ZARYA),24,150,False,evaluated,46659,42350,4309,9.2351,25338,8100,8912,linear_bias_rate,2.820642,2.820869,-0.008,closed,closed,closed,closed,closed,closed,3.764383,3.764387,4e-06,0.0001,-0.0001,4575,4317,20,0.513353,4e-06,-0.000207,-0.00021,0.000214,0.006419,0.89866,0.01323,1971,-0.000233,0.000261,False,9.774771,9.77526,17.080032,17.080469,0.0,0.0
NORAD25544,ISS (ZARYA),24,500,False,evaluated,46659,45072,1587,3.4013,27336,8350,9386,linear_bias_rate,4.400296,4.402941,-0.0601,closed,closed,closed,closed,closed,closed,6.202885,6.204615,0.001729,0.0279,-0.0279,4280,5093,13,0.455998,0.001729,0.004096,0.000951,0.002542,0.0,0.0,0.0,1990,0.000605,0.00281,True,15.95078,15.955596,27.902405,27.905554,0.0,0.0
NORAD25544,ISS (ZARYA),24,1500,True,evaluated,46659,45923,736,1.5774,27871,8455,9597,linear_bias_rate,6.224329,6.233598,-0.1489,closed,closed,closed,closed,closed,closed,9.63197,9.640041,0.008071,0.0838,-0.0838,4200,5387,10,0.437637,0.008071,0.009893,0.006476,0.009685,0.0,0.0,0.0,1997,0.006024,0.010125,True,25.395951,25.408912,45.038037,45.045863,0.001611,0.001611
NORAD25544,ISS (ZARYA),24,3000,False,evaluated,46659,46261,398,0.853,28096,8488,9677,linear_bias_rate,7.346606,7.377635,-0.4224,closed,closed,closed,closed,closed,closed,12.708824,12.737732,0.028909,0.2275,-0.2275,4107,5561,9,0.424408,0.028909,0.016244,0.025237,0.032556,0.0,0.0,0.0,2001,0.024829,0.033111,True,34.758713,34.799817,60.360225,60.387776,0.002919,0.002919
